# List of international goals scored by Xavi
No.,Date,Venue,Opponent,Score,Result,Competition
1,26 March 2005,"Helmántico Stadium, Salamanca, Spain",China,2–0,3–0,Friendly
2,6 September 2006,"Windsor Park, Belfast, Northern Ireland",Northern Ireland,1–0,2–3,UEFA Euro 2008 qualifying
3,11 October 2006,"La Condomina Stadium, Murcia, Spain",Argentina,1–0,2–1,Friendly
4,2 June 2007,"Skonto Stadium, Riga, Latvia",Latvia,2–0,2–0,UEFA Euro 2008 qualifying
5,12 September 2007,"Carlos Tartiere Stadium, Oviedo, Spain",Latvia,1–0,2–0,UEFA Euro 2008 qualifying
6,21 November 2007,"Gran Canaria Stadium, Las Palmas, Spain",Northern Ireland,1–0,1–0,UEFA Euro 2008 qualifying
7,4 June 2008,"El Sardinero Stadium, Santander, Spain",United States,1–0,1–0,Friendly
8,26 June 2008,"Ernst-Happel-Stadion, Vienna, Austria",Russia,1–0,3–0,UEFA Euro 2008
9,20 August 2008,"Parken Stadium, Copenhagen, Denmark",Denmark,2–0,3–0,Friendly
10,29 March 2011,"Darius and Girėnas Stadium, Kaunas, Lithuania",Lithuania,1–0,3–1,UEFA Euro 2012 qualifying
11,6 September 2011,"Las Gaunas Stadium, Logroño, Spain",Liechtenstein,3–0,6–0,UEFA Euro 2012 qualifying
12,7 September 2012,"Pasarón Stadium, Pontevedra, Spain",Saudi Arabia,3–0,5–0,Friendly
13,11 October 2013,"Iberostar Stadium, Palma, Spain",Belarus,1–0,2–1,2014 FIFA World Cup qualifying
