# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Aalesund,1997,Norwegian First Division,9,1,0,0,—,—,—,—,—,—,9,1
Aalesund,1998,Norwegian First Division,17,4,0,0,—,—,—,—,—,—,17,4
Aalesund,Total,Total,26,5,0,0,—,—,—,—,—,—,26,5
Monaco 2,1998–99,Championnat National 2,9,2,—,—,—,—,—,—,—,—,9,2
Monaco,1998–99,French Division 1,7,0,1,0,2,0,1,0,—,—,11,0
Monaco,1999–2000,French Division 1,21,1,3,2,2,0,6,1,—,—,32,4
Monaco,2000–01,French Division 1,16,3,0,0,2,0,2,0,1,0,21,3
Monaco,Total,Total,44,4,4,2,6,0,9,1,1,0,64,7
Liverpool,2001–02,Premier League,38,7,2,0,0,0,14,0,2,1,56,8
Liverpool,2002–03,Premier League,37,6,3,0,4,0,11,0,1,0,56,6
Liverpool,2003–04,Premier League,28,0,1,0,2,0,4,0,—,—,35,0
Liverpool,2004–05,Premier League,37,6,0,0,5,1,15,1,—,—,57,8
Liverpool,2005–06,Premier League,32,1,6,3,0,0,14,0,3,0,52,4
Liverpool,2006–07,Premier League,33,1,1,0,1,1,12,2,1,1,48,5
Liverpool,2007–08,Premier League,29,0,4,0,1,0,10,0,—,—,44,0
Liverpool,Total,Total,234,21,17,3,13,2,77,3,7,2,348,31
Roma,2008–09,Serie A,31,2,2,0,—,—,8,0,1,0,42,2
Roma,2009–10,Serie A,36,5,4,0,—,—,12,3,—,—,52,8
Roma,2010–11,Serie A,32,0,4,0,—,—,5,0,1,1,42,1
Roma,Total,Total,99,7,10,0,—,—,25,3,2,1,136,11
Fulham,2011–12,Premier League,36,0,2,0,0,0,6,0,—,—,44,0
Fulham,2012–13,Premier League,31,0,1,0,0,0,—,—,—,—,32,0
Fulham,2013–14,Premier League,20,0,2,0,3,0,—,—,—,—,25,0
Fulham,Total,Total,87,0,5,0,3,0,6,0,—,—,101,0
APOEL,2014–15,Cypriot First Division,25,4,4,2,—,—,1,0,—,—,30,6
Delhi Dynamos,2015,Indian Super League,13,1,—,—,—,—,—,—,2,0,15,1
Aalesund,2016,Tippeligaen,10,0,3,1,—,—,—,—,—,—,13,1
Chennaiyin,2016,Indian Super League,10,1,—,—,—,—,—,—,—,—,10,1
Rollon,2017,4. divisjon,2,0,—,—,—,—,—,—,—,—,2,0
Career total,Career total,Career total,559,45,43,8,22,2,118,7,12,3,754,65
