# Table 1
Club performance Season Hungary,Club performance Club Hungary,Club performance League Hungary,League Apps League,League Goals League,Cup Apps Hungarian Cup,Cup Goals Hungarian Cup,League Cup Apps League Cup,League Cup Goals League Cup,Continental Apps Europe,Continental Goals Europe,Total Apps Total,Total Goals Total
1935–36,Salgótarjáni BTC,National Championship I,24,19,,,,,,,,
1936–37,Újpest Budapest,National Championship I,24,35,,,,,,,,
1937–38,Újpest Budapest,National Championship I,25,31,,,,,,,,
1938–39,Újpest Budapest,National Championship I,26,56,,,,,,,,
1939–40,Újpest Budapest,National Championship I,12,11,,,,,,,,
1940–41,Újpest Budapest,National Championship I,26,28,,,,,,,,
1941–42,Újpest Budapest,National Championship I,28,27,,,,,,,,
1942–43,Újpest Budapest,National Championship I,30,26,,,,,,,,
1943–44,Újpest Budapest,National Championship I,29,33,,,,,,,,
1944,Újpest Budapest,National Championship I,9,12,,,,,,,,
1945,Újpest Budapest,National Championship I,21,36,,,,,,,,
1945–46,Újpest Budapest,National Championship I,35,51,,,,,,,,
1946–47,Újpest Budapest,National Championship I,29,18,,,,,,,,
1947–48,Újpest Budapest,National Championship I,7,4,,,,,,,,
Total,Hungary,Hungary,325,387,,,,,,,,
1948–49,AS Roma,Serie A,28,5,,,,,,,,
1949–50,AS Roma,Serie A,6,1,,,,,,,,
Total,Italy,Italy,34,6,,,,,,,,
1951,Deportivo Samarios,Categoría Primera A,19,13,,,,,,,,
1952,Deportivo Samarios,Categoría Primera A,18,10,,,,,,,,
Total,Colombia,Colombia,37,23,,,,,,,,
Career total,Career total,Career total,396,416,,,,,,,,
