# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,League Cup Apps,League Cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
Eintracht Frankfurt,1992–93,Bundesliga,20,2,3,1,–,–,3,0,26,3
Eintracht Frankfurt,1993–94,Bundesliga,19,2,2,0,–,–,4,2,25,4
Eintracht Frankfurt,1994–95,Bundesliga,27,7,2,0,–,–,7,0,36,7
Eintracht Frankfurt,1995–96,Bundesliga,24,7,1,1,–,–,4,3,29,11
Eintracht Frankfurt,Total,Total,90,18,8,2,–,–,18,5,116,25
Fenerbahçe,1996–97,1.Lig,33,16,3,1,1,0,8,1,45,18
Fenerbahçe,1997–98,1.Lig,29,14,0,0,–,–,2,0,31,14
Fenerbahçe,Total,Total,62,30,3,1,1,0,10,1,76,32
Paris Saint-Germain,1998–99,French Division 1,25,4,0,0,2,0,2,1,29,5
Paris Saint-Germain,1999–2000,French Division 1,23,2,1,0,3,0,–,–,26,2
Paris Saint-Germain,2000–01,French Division 1,16,2,1,0,1,0,6,1,24,3
Paris Saint-Germain,2001–02,French Division 1,20,4,2,0,2,1,9,5,33,10
Paris Saint-Germain,Total,Total,84,12,4,0,8,1,17,7,112,20
Bolton Wanderers,2002–03,Premier League,31,7,0,0,0,0,–,–,31,7
Bolton Wanderers,2003–04,Premier League,35,0,0,0,6,3,–,–,41,3
Bolton Wanderers,2004–05,Premier League,31,6,1,0,1,1,–,–,33,7
Bolton Wanderers,2005–06,Premier League,27,1,3,0,0,0,7,0,37,1
Bolton Wanderers,Total,Total,124,14,4,0,7,4,7,0,142,18
Hull City,2007–08,Championship,18,0,0,0,1,0,–,–,19,0
Career total,Career total,Career total,402,80,19,3,17,5,52,13,489,101
