# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Steaua București,1985–86,Divizia A,2,0,0,0,–,–,0,0,–,–,2,0
Steaua București,1987–88,Divizia A,11,1,1,0,–,–,1,0,–,–,13,1
Steaua București,1988–89,Divizia A,28,5,2,0,–,–,8,1,–,–,38,6
Steaua București,1989–90,Divizia A,23,9,3,1,–,–,4,1,–,–,30,11
Steaua București,1990–91,Divizia A,31,13,3,2,–,–,3,2,–,–,37,17
Steaua București,Total,Total,95,28,9,3,0,0,16,4,0,0,120,35
Olt Scornicești (loan),1986–87,Divizia A,24,0,1,0,–,–,–,–,–,–,25,0
Foggia,1991–92,Serie A,25,4,2,0,–,–,–,–,–,–,27,4
Foggia,1992–93,Serie A,30,3,4,0,–,–,–,–,–,–,34,3
Foggia,Total,Total,55,7,6,0,0,0,0,0,0,0,61,7
Genoa,1993–94,Serie A,24,1,1,0,–,–,–,–,–,–,25,1
Sheffield Wednesday,1994–95,Premier League,29,3,2,0,2,0,–,–,–,–,33,3
Sheffield Wednesday,1995–96,Premier League,8,0,0,0,0,0,–,–,–,–,8,0
Sheffield Wednesday,Total,Total,37,3,2,0,2,0,0,0,0,0,41,3
Chelsea,1995–96,Premier League,24,2,7,1,0,0,–,–,–,–,31,3
Chelsea,1996–97,Premier League,34,3,5,0,2,1,–,–,–,–,41,4
Chelsea,1997–98,Premier League,31,5,1,0,3,1,7,2,1,0,43,8
Chelsea,1998–99,Premier League,32,4,4,0,3,0,6,0,–,–,45,4
Chelsea,1999–2000,Premier League,29,4,3,0,0,0,15,1,–,–,47,5
Chelsea,Total,Total,150,18,20,1,8,2,28,3,1,0,207,24
Bradford City,2000–01,Premier League,17,1,1,0,2,0,–,–,–,–,20,1
Southampton,2000–01,Premier League,9,2,0,0,0,0,–,–,–,–,9,2
Southampton,2001–02,Premier League,2,0,0,0,0,0,–,–,–,–,2,0
Southampton,Total,Total,11,2,0,0,0,0,0,0,0,0,11,2
National București,2002–03,Divizia A,20,0,5,0,–,–,6,0,–,–,31,0
Career total,Career total,Career total,433,60,45,4,12,2,50,7,1,0,541,73
