# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,League Cup Apps,League Cup Goals,Other Apps,Other Goals,Total Apps,Total Goals
Queens Park Rangers,1986–87,First Division,2,0,0,0,0,0,—,—,2,0
Queens Park Rangers,1987–88,First Division,1,0,0,0,1,0,0,0,2,0
Queens Park Rangers,1989–90,First Division,9,2,0,0,0,0,—,—,9,2
Queens Park Rangers,1990–91,First Division,18,8,1,0,2,0,0,0,21,8
Queens Park Rangers,1991–92,First Division,23,10,0,0,2,2,1,0,26,12
Queens Park Rangers,1992–93,Premier League,37,20,2,2,3,2,—,—,42,24
Queens Park Rangers,1993–94,Premier League,36,16,1,0,3,2,—,—,40,18
Queens Park Rangers,1994–95,Premier League,37,24,3,1,2,1,—,—,42,26
Queens Park Rangers,Total,Total,163,80,7,3,13,7,1,0,184,90
Brentford (loan),1987–88,Third Division,3,0,—,—,—,—,—,—,3,0
Beşiktaş (loan),1988–89,Süper Lig,24,14,5,4,—,—,1,0,30,18
Newcastle United,1995–96,Premier League,37,25,2,1,5,3,–,–,44,29
Newcastle United,1996–97,Premier League,31,16,3,1,1,0,5,4,40,21
Newcastle United,Total,Total,68,41,5,2,6,3,5,4,84,50
Tottenham Hotspur,1997–98,Premier League,21,5,2,0,1,0,—,—,24,5
Tottenham Hotspur,1998–99,Premier League,24,5,7,0,4,0,—,—,35,5
Tottenham Hotspur,1999–2000,Premier League,9,2,0,0,0,0,0,0,9,2
Tottenham Hotspur,2000–01,Premier League,28,10,4,0,3,0,—,—,35,10
Tottenham Hotspur,2001–02,Premier League,25,9,3,1,5,5,—,—,33,15
Tottenham Hotspur,2002–03,Premier League,11,2,0,0,2,0,—,—,13,2
Tottenham Hotspur,Total,Total,118,33,16,1,15,5,0,0,149,39
West Ham United,2002–03,Premier League,14,2,0,0,—,—,—,—,14,2
Leicester City,2003–04,Premier League,29,12,2,1,0,0,—,—,31,13
Bolton Wanderers,2004–05,Premier League,12,1,—,—,2,1,—,—,14,2
Reading,2004–05,Championship,12,1,2,0,—,—,—,—,14,1
Watford,2005–06,Championship,0,0,0,0,0,0,0,0,0,0
Career total,Career total,Career total,443,184,37,11,36,16,7,4,523,215
