# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Bayer Uerdingen,1986–87,Bundesliga,19,3,4,4,—,—,4,2,—,—,27,9
Bayer Uerdingen,1987–88,Bundesliga,12,1,1,0,—,—,—,—,—,—,13,1
Bayer Uerdingen,Total,Total,31,4,5,4,—,—,4,2,—,—,40,10
Hamburger SV,1988–89,Bundesliga,24,6,3,1,—,—,—,—,—,—,27,7
Hamburger SV,1989–90,Bundesliga,10,0,1,0,—,—,—,—,—,—,11,0
Hamburger SV,Total,Total,34,6,4,1,—,—,—,—,—,—,38,7
Borussia Mönchengladbach,1989–90,Bundesliga,8,0,—,—,—,—,—,—,—,—,8,0
Austria Salzburg,1990–91,Austrian Bundesliga,33,23,3,3,—,—,—,—,—,—,36,26
Ascoli,1991–92,Serie A,17,2,2,0,—,—,—,—,—,—,19,2
Ascoli,1992–93,Serie B,35,20,2,1,—,—,—,—,—,—,37,21
Ascoli,1993–94,Serie B,32,17,2,0,—,—,—,—,—,—,34,17
Ascoli,1994–95,Serie B,33,9,1,0,—,—,—,—,—,—,34,9
Ascoli,Total,Total,117,48,7,1,—,—,—,—,—,—,124,49
Udinese,1995–96,Serie A,31,17,2,1,—,—,—,—,—,—,33,18
Udinese,1996–97,Serie A,23,13,1,0,—,—,—,—,—,—,24,13
Udinese,1997–98,Serie A,32,27,3,2,—,—,4,2,—,—,39,31
Udinese,Total,Total,86,57,6,3,—,—,4,2,—,—,96,62
AC Milan,1998–99,Serie A,34,19,3,2,—,—,—,—,—,—,37,21
AC Milan,1999–2000,Serie A,30,11,3,1,—,—,6,2,1,0,40,14
AC Milan,2000–01,Serie A,27,6,5,1,—,—,10,2,—,—,42,9
AC Milan,Total,Total,91,36,11,4,—,—,16,4,1,0,119,44
Monaco,2001–02,Division 1,18,4,4,1,3,2,—,—,—,—,25,7
Chievo,2002–03,Serie A,26,7,2,0,—,—,2,0,—,—,30,7
Career total,Career total,Career total,444,185,42,17,3,2,26,8,1,0,516,212
