# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Willem II,2014–15,Eredivisie,1,0,0,0,—,—,—,—,1,0
Willem II,2015–16,Eredivisie,1,0,1,0,—,—,—,—,2,0
Willem II,Total,Total,2,0,1,0,—,—,—,—,3,0
Jong Ajax,2015–16,Eerste Divisie,15,2,—,—,—,—,—,—,15,2
Jong Ajax,2016–17,Eerste Divisie,31,6,—,—,—,—,—,—,31,6
Jong Ajax,Total,Total,46,8,—,—,—,—,—,—,46,8
Ajax,2016–17,Eredivisie,4,1,3,0,4,0,—,—,11,1
Ajax,2017–18,Eredivisie,22,0,2,1,2,0,—,—,26,1
Ajax,2018–19,Eredivisie,31,3,4,0,17,0,—,—,52,3
Ajax,Total,Total,57,4,9,1,23,0,—,—,89,5
Barcelona,2019–20,La Liga,29,2,3,0,9,0,1,0,42,2
Barcelona,2020–21,La Liga,37,3,5,3,7,0,2,1,51,7
Barcelona,2021–22,La Liga,32,3,2,0,12,1,1,0,47,4
Barcelona,2022–23,La Liga,33,2,2,0,6,0,2,0,43,2
Barcelona,2023–24,La Liga,20,2,3,0,5,0,2,0,30,2
Barcelona,2024–25,La Liga,26,2,6,0,13,0,1,0,46,2
Barcelona,2025–26,La Liga,4,0,0,0,1,0,0,0,5,0
Barcelona,Total,Total,181,14,21,3,53,1,9,1,264,19
Career total,Career total,Career total,286,26,31,4,76,1,9,1,402,32
