# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Coppa Italia Apps,Coppa Italia Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
AC Milan,1986–87,Serie A,0,0,2,0,–,–,–,–,2,0
AC Milan,1987–88,Serie A,7,0,1,0,–,–,–,–,8,0
AC Milan,1988–89,Serie A,26,0,7,0,7,0,1,0,41,0
AC Milan,1989–90,Serie A,26,1,3,0,10,0,1,0,40,1
AC Milan,1990–91,Serie A,25,0,3,0,6,0,1,0,35,0
AC Milan,1991–92,Serie A,30,1,6,0,–,–,–,–,36,1
AC Milan,1992–93,Serie A,31,0,6,0,10,0,1,0,48,0
AC Milan,1993–94,Serie A,30,0,2,0,13,0,2,0,47,0
AC Milan,1994–95,Serie A,27,0,3,0,8,0,2,0,40,0
AC Milan,1995–96,Serie A,30,0,3,0,7,0,–,–,40,0
AC Milan,1996–97,Serie A,30,0,3,0,5,0,1,0,39,0
AC Milan,1997–98,Serie A,29,0,8,0,–,–,–,–,37,0
AC Milan,1998–99,Serie A,29,0,3,0,–,–,–,–,32,0
AC Milan,1999–2000,Serie A,27,0,2,0,5,0,1,0,35,0
AC Milan,2000–01,Serie A,18,0,2,0,9,0,–,–,29,0
AC Milan,2001–02,Serie A,21,0,3,0,7,0,–,–,31,0
AC Milan,2002–03,Serie A,18,0,5,0,10,0,–,–,33,0
AC Milan,2003–04,Serie A,22,0,5,0,8,0,1,0,36,0
AC Milan,2004–05,Serie A,14,0,3,0,5,0,–,–,22,0
AC Milan,2005–06,Serie A,15,0,3,0,3,0,–,–,21,0
AC Milan,2006–07,Serie A,3,1,5,0,3,0,–,–,11,1
AC Milan,Total,Total,458,3,78,0,116,0,11,0,663,3
Monza (loan),1986–87,Serie C1,30,0,–,–,–,–,1,0,31,0
Career total,Career total,Career total,488,3,78,0,116,0,12,0,694,3
