# List of international goals scored by Gonzalo Higuaín
No.,Date,Venue,Opponent,Score,Result,Competition
1,10 October 2009,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Peru,1–0,2–1,2010 FIFA World Cup qualification
2,3 March 2010,"Allianz Arena, Munich, Germany",Germany,1–0,1–0,Friendly
3,17 June 2010,"FNB Stadium, Johannesburg, South Africa",South Korea,2–0,4–1,2010 FIFA World Cup
4,17 June 2010,"FNB Stadium, Johannesburg, South Africa",South Korea,3–1,4–1,2010 FIFA World Cup
5,17 June 2010,"FNB Stadium, Johannesburg, South Africa",South Korea,4–1,4–1,2010 FIFA World Cup
6,27 June 2010,"FNB Stadium, Johannesburg, South Africa",Mexico,2–0,3–1,2010 FIFA World Cup
7,7 September 2010,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Spain,2–0,4–1,Friendly
8,16 July 2011,"Estadio Brigadier General Estanislao López, Santa Fe, Argentina",Uruguay,1–1,1–1 (4–5 p),2011 Copa América
9,6 September 2011,"Bangabandhu National Stadium, Dhaka, Bangladesh",Nigeria,1–0,3–1,Friendly
10,7 October 2011,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Chile,1–0,4–1,2014 FIFA World Cup qualification
11,7 October 2011,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Chile,3–0,4–1,2014 FIFA World Cup qualification
12,7 October 2011,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Chile,4–1,4–1,2014 FIFA World Cup qualification
13,2 June 2012,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Ecuador,2–0,4–0,2014 FIFA World Cup qualification
14,7 September 2012,"Estadio Mario Alberto Kempes, Córdoba, Argentina",Paraguay,2–1,3–1,2014 FIFA World Cup qualification
15,11 September 2012,"Estadio Nacional, Lima, Peru",Peru,1–1,1–1,2014 FIFA World Cup qualification
16,16 October 2012,"Estadio Nacional Julio Martínez Prádanos, Santiago, Chile",Chile,2–0,2–1,2014 FIFA World Cup qualification
17,6 February 2013,"Friends Arena, Solna, Sweden",Sweden,3–1,3–2,Friendly
18,22 March 2013,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Venezuela,2–0,3–0,2014 FIFA World Cup qualification
19,22 March 2013,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Venezuela,3–0,3–0,2014 FIFA World Cup qualification
20,14 August 2013,"Stadio Olimpico, Rome, Italy",Italy,1–0,2–1,Friendly
21,5 July 2014,"Estádio Nacional Mané Garrincha, Brasília, Brazil",Belgium,1–0,1–0,2014 FIFA World Cup
22,14 October 2014,"Hong Kong Stadium, Wan Chai, Hong Kong",Hong Kong,2–0,7–0,Friendly
23,14 October 2014,"Hong Kong Stadium, Wan Chai, Hong Kong",Hong Kong,4–0,7–0,Friendly
24,20 June 2015,"Estadio Sausalito, Viña del Mar, Chile",Jamaica,1–0,1–0,2015 Copa América
25,30 June 2015,"Estadio Municipal de Concepción, Concepción, Chile",Paraguay,6–1,6–1,2015 Copa América
26,28 May 2016,"Estadio San Juan del Bicentenario, San Juan, Argentina",Honduras,1–0,1–0,Friendly
27,18 June 2016,"Gillette Stadium, Foxborough, United States",Venezuela,1–0,4–1,Copa América Centenario
28,18 June 2016,"Gillette Stadium, Foxborough, United States",Venezuela,2–0,4–1,Copa América Centenario
29,21 June 2016,"NRG Stadium, Houston, United States",United States,3–0,4–0,Copa América Centenario
30,21 June 2016,"NRG Stadium, Houston, United States",United States,4–0,4–0,Copa América Centenario
31,6 October 2016,"Estadio Nacional, Lima, Peru",Peru,2–1,2–2,2018 FIFA World Cup qualification
