# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,League Cup Apps,League Cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
Cannes,1993–94,Division 1,5,0,1,0,–,–,–,–,6,0
Cannes,1994–95,Division 1,31,2,2,1,1,0,4,1,38,4
Cannes,1995–96,Division 1,13,0,0,0,0,0,4,0,17,0
Cannes,Total,Total,49,2,3,1,1,0,8,1,61,4
AC Milan,1995–96,Serie A,2,0,1,0,–,–,2,0,5,0
Arsenal,1996–97,Premier League,31,2,3,0,3,0,1,0,38,2
Arsenal,1997–98,Premier League,33,2,9,0,2,0,2,0,46,2
Arsenal,1998–99,Premier League,34,3,4,1,1,0,3,0,42,4
Arsenal,1999–2000,Premier League,30,2,2,0,1,0,14,0,47,2
Arsenal,2000–01,Premier League,30,6,6,1,0,0,12,0,48,7
Arsenal,2001–02,Premier League,36,2,7,0,0,0,11,1,54,3
Arsenal,2002–03,Premier League,24,3,5,0,1,0,12,1,42,4
Arsenal,2003–04,Premier League,29,3,5,0,3,0,7,0,44,3
Arsenal,2004–05,Premier League,32,6,6,1,0,0,6,0,44,7
Arsenal,Total,Total,279,29,48,3,11,0,68,2,405,34
Juventus,2005–06,Serie A,31,5,3,0,1,0,7,0,42,5
Inter Milan,2006–07,Serie A,20,1,3,0,1,2,4,1,28,4
Inter Milan,2007–08,Serie A,16,3,3,0,1,0,3,0,23,3
Inter Milan,2008–09,Serie A,19,1,2,0,–,–,3,0,24,1
Inter Milan,2009–10,Serie A,12,1,1,0,1,0,2,0,16,1
Inter Milan,Total,Total,67,6,9,0,3,2,12,1,91,9
Manchester City,2009–10,Premier League,13,1,1,0,0,0,–,–,14,1
Manchester City,2010–11,Premier League,15,2,8,3,1,0,8,0,32,5
Manchester City,Total,Total,28,3,9,3,1,0,8,0,46,6
Career total,Career total,Career total,456,45,73,7,17,2,105,4,650,58
