# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,League Cup Apps,League Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Reading,2008–09,Championship,0,0,1,0,2,0,—,—,—,—,3,0
Reading,2009–10,Championship,38,16,5,3,1,1,—,—,—,—,44,20
Reading,2010–11,Championship,4,2,0,0,0,0,—,—,—,—,4,2
Reading,Total,Total,42,18,6,3,3,1,—,—,—,—,51,22
Shrewsbury Town (loan),2008–09,League Two,5,1,—,—,—,—,—,—,1,0,6,1
Crewe Alexandra (loan),2008–09,League One,15,3,—,—,—,—,—,—,—,—,15,3
TSG Hoffenheim,2010–11,Bundesliga,29,9,3,1,—,—,—,—,—,—,32,10
TSG Hoffenheim,2011–12,Bundesliga,7,0,0,0,—,—,—,—,—,—,7,0
TSG Hoffenheim,Total,Total,36,9,3,1,—,—,—,—,—,—,39,10
Swansea City (loan),2011–12,Premier League,18,7,1,0,0,0,—,—,—,—,19,7
Tottenham Hotspur,2012–13,Premier League,33,3,2,0,2,1,11,3,—,—,48,7
Tottenham Hotspur,2013–14,Premier League,25,5,0,0,2,1,8,0,—,—,35,6
Tottenham Hotspur,Total,Total,58,8,2,0,4,2,19,3,—,—,83,13
Swansea City,2014–15,Premier League,32,7,1,1,2,1,—,—,—,—,35,9
Swansea City,2015–16,Premier League,36,11,0,0,1,0,—,—,—,—,37,11
Swansea City,2016–17,Premier League,38,9,1,0,1,1,—,—,—,—,40,10
Swansea City,Total,Total,106,27,2,1,4,2,—,—,—,—,112,30
Everton,2017–18,Premier League,27,4,1,1,0,0,5,1,—,—,33,6
Everton,2018–19,Premier League,38,13,2,0,1,1,—,—,—,—,41,14
Everton,2019–20,Premier League,35,2,1,0,2,1,—,—,—,—,38,3
Everton,2020–21,Premier League,36,6,4,1,4,1,—,—,—,—,44,8
Everton,2021–22,Premier League,0,0,0,0,0,0,—,—,—,—,0,0
Everton,Total,Total,136,25,8,2,7,3,5,1,—,—,156,31
Lyngby,2023–24,Superliga,5,0,1,2,—,—,—,—,—,—,6,2
Lyngby,Total,Total,5,0,1,2,—,—,—,—,—,—,6,2
Valur,2024,Úrvalsdeild,7,5,2,0,1,0,0,0,—,—,11,5
Valur,Total,Total,7,5,2,0,1,0,0,0,—,—,11,5
Career total,Career total,Career total,428,103,25,9,19,8,24,4,1,0,499,124
