# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Estoril,1995–96,Segunda Liga,29,18,4,5,–,–,–,–,–,–,33,23
Salamanca,1996–97,Segunda División,37,19,3,0,–,–,–,–,–,–,40,19
Salamanca,1997–98,La Liga,34,15,1,0,–,–,–,–,–,–,35,15
Salamanca,Total,Total,71,34,4,0,–,–,–,–,–,–,75,34
Deportivo,1998–99,La Liga,28,10,9,1,–,–,–,–,–,–,37,11
Deportivo,1999–2000,La Liga,30,8,3,0,–,–,7,3,–,–,40,11
Deportivo,2000–01,La Liga,0,0,0,0,–,–,–,–,1,0,1,0
Deportivo,Total,Total,58,18,12,1,–,–,7,3,1,0,78,22
Bordeaux,2000–01,Ligue 1,28,20,1,3,1,0,7,3,–,–,37,26
Bordeaux,2001–02,Ligue 1,33,22,2,4,4,4,6,5,–,–,45,35
Bordeaux,2002–03,Ligue 1,37,23,5,5,2,1,4,1,–,–,48,30
Bordeaux,Total,Total,98,65,8,12,7,5,17,9,–,–,130,91
Paris Saint-Germain,2003–04,Ligue 1,37,18,5,5,0,0,–,–,–,–,42,23
Paris Saint-Germain,2004–05,Ligue 1,35,14,2,4,0,0,6,1,1,0,44,19
Paris Saint-Germain,2005–06,Ligue 1,36,21,6,5,2,2,–,–,–,–,44,28
Paris Saint-Germain,2006–07,Ligue 1,33,15,3,1,2,2,9,6,0,0,47,24
Paris Saint-Germain,2007–08,Ligue 1,27,8,2,1,5,6,–,–,–,–,34,15
Paris Saint-Germain,Total,Total,168,76,18,16,9,10,15,7,1,0,212,109
Career total,Career total,Career total,424,211,46,34,16,15,39,19,2,0,526,279
