# List of international goals scored by Diego Forlán
No.,Date,Venue,Opponent,Score,Result,Competition
1,27 March 2002,"Prince Mohamed bin Fahd Stadium, Damman, Saudi Arabia",Saudi Arabia,2–3,2–3,Friendly
2,11 June 2002,"Suwon World Cup Stadium, Suwon, South Korea",Senegal,2–3,3–3,2002 FIFA World Cup
3,28 March 2003,"National Stadium (Tokyo), Tokyo, Japan",Japan,1–0,2–2,Friendly
4,20 August 2003,"Stadio Artemio Franchi, Florence, Italy",Argentina,1–0,2–3,Friendly
5,7 September 2003,"Estadio Centenario, Montevideo, Uruguay",Bolivia,1–0,5–0,2006 FIFA World Cup qualification
6,19 November 2003,"Pinheirão, Curitiba, Brazil",Brazil,1–2,3–3,2006 FIFA World Cup qualification
7,19 November 2003,"Pinheirão, Curitiba, Brazil",Brazil,2–2,3–3,2006 FIFA World Cup qualification
8,1 June 2004,"Estadio Centenario, Montevideo, Uruguay",Peru,1–3,1–3,2006 FIFA World Cup qualification
9,10 July 2004,"Estadio Elías Aguirre, Chiclayo, Peru",Ecuador,1–0,2–1,2004 Copa América
10,30 March 2005,"Estadio Centenario, Montevideo, Uruguay",Brazil,1–0,1–1,2006 FIFA World Cup qualification
11,4 June 2005,"Estadio José Pachencho Romero, Maracaibo, Venezuela",Venezuela,1–0,1–1,2006 FIFA World Cup qualification
12,2 June 2007,"Telstra Stadium, Sydney, Australia",Australia,1–1,2–1,Friendly
13,7 July 2007,"Estadio Polideportivo de Pueblo Nuevo, San Cristóbal, Venezuela",Venezuela,1–0,4–1,2007 Copa América
14,7 July 2007,"Estadio Polideportivo de Pueblo Nuevo, San Cristóbal, Venezuela",Venezuela,4–1,4–1,2007 Copa América
15,10 July 2007,"Estadio José Pachencho Romero, Maracaibo, Venezuela",Brazil,1–1,2–2,2007 Copa América
16,13 October 2007,"Estadio Centenario, Montevideo, Uruguay",Bolivia,2–0,5–0,2010 FIFA World Cup qualification
17,17 June 2008,"Estadio Centenario, Montevideo, Uruguay",Peru,1–0,6–0,2010 FIFA World Cup qualification
18,17 June 2008,"Estadio Centenario, Montevideo, Uruguay",Peru,2–0,6–0,2010 FIFA World Cup qualification
19,17 June 2008,"Estadio Centenario, Montevideo, Uruguay",Peru,3–0,6–0,2010 FIFA World Cup qualification
20,28 March 2009,"Estadio Centenario, Montevideo, Uruguay",Paraguay,1–0,2–0,2010 FIFA World Cup qualification
21,10 June 2009,"Polideportivo Cachamay, Ciudad Guayana, Venezuela",Venezuela,2–1,2–2,2010 FIFA World Cup qualification
22,10 October 2009,"Estadio Olímpico Atahualpa, Quito, Ecuador",Ecuador,2–1,2–1,2010 FIFA World Cup qualification
23,3 March 2010,"AFG Arena, St. Gallen, Switzerland",Switzerland,1–1,3–1,Friendly
24,27 May 2010,"Estadio Centenario, Montevideo, Uruguay",Israel,1–0,4–1,Friendly
25,16 June 2010,"Loftus Versfeld Stadium, Pretoria, South Africa",South Africa,1–0,3–0,2010 FIFA World Cup
26,16 June 2010,"Loftus Versfeld Stadium, Pretoria, South Africa",South Africa,2–0,3–0,2010 FIFA World Cup
27,2 July 2010,"Soccer City, Johannesburg, South Africa",Ghana,1–1,1–1,2010 FIFA World Cup
28,6 July 2010,"Cape Town Stadium, Cape Town, South Africa",Netherlands,1–1,2–3,2010 FIFA World Cup
29,10 July 2010,"Nelson Mandela Bay Stadium, Port Elizabeth, South Africa",Germany,2–1,2–3,2010 FIFA World Cup
30,24 July 2011,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Paraguay,2–0,3–0,2011 Copa América
31,24 July 2011,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Paraguay,3–0,3–0,2011 Copa América
32,11 October 2011,"Estadio Defensores del Chaco, Asunción, Paraguay",Paraguay,1–0,1–1,2014 FIFA World Cup qualification
33,2 June 2012,"Estadio Centenario, Montevideo, Uruguay",Venezuela,1–0,1–1,2014 FIFA World Cup qualification
34,20 June 2013,"Itaipava Arena Fonte Nova, Salvador, Brazil",Nigeria,2–1,2–1,2013 FIFA Confederations Cup
35,14 August 2013,"Miyagi Stadium, Sendai, Japan",Japan,1–0,4–2,Friendly
36,14 August 2013,"Miyagi Stadium, Sendai, Japan",Japan,2–0,4–2,Friendly
