# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Dinamo Zagreb,2003–04,Prva HNL,0,0,0,0,—,—,—,—,—,—,0,0
Dinamo Zagreb,2004–05,Prva HNL,7,0,1,0,—,—,—,—,—,—,8,0
Dinamo Zagreb,2005–06,Prva HNL,32,7,1,0,—,—,—,—,—,—,33,7
Dinamo Zagreb,2006–07,Prva HNL,30,6,7,1,—,—,6,0,1,1,44,8
Dinamo Zagreb,2007–08,Prva HNL,25,13,8,1,—,—,12,3,—,—,45,17
Dinamo Zagreb,Total,Total,94,26,17,2,0,0,18,3,1,1,130,32
Zrinjski Mostar (loan),2003–04,Bosnian Premier League,25,8,—,—,—,—,—,—,—,—,25,8
Inter Zaprešić (loan),2004–05,Prva HNL,18,4,—,—,—,—,—,—,—,—,18,4
Tottenham Hotspur,2008–09,Premier League,34,3,2,1,4,0,4,1,—,—,44,5
Tottenham Hotspur,2009–10,Premier League,25,3,7,0,0,0,—,—,—,—,32,3
Tottenham Hotspur,2010–11,Premier League,32,3,2,0,0,0,9,1,—,—,43,4
Tottenham Hotspur,2011–12,Premier League,36,4,3,0,0,0,2,1,—,—,41,5
Tottenham Hotspur,Total,Total,127,13,14,1,4,0,15,3,0,0,160,17
Real Madrid,2012–13,La Liga,33,3,8,0,—,—,11,1,1,0,53,4
Real Madrid,2013–14,La Liga,34,1,6,0,—,—,11,1,—,—,51,2
Real Madrid,2014–15,La Liga,16,1,0,0,—,—,6,0,3,0,25,1
Real Madrid,2015–16,La Liga,32,2,0,0,—,—,12,1,—,—,44,3
Real Madrid,2016–17,La Liga,25,1,2,0,—,—,11,0,3,0,41,1
Real Madrid,2017–18,La Liga,26,1,2,0,—,—,11,1,4,0,43,2
Real Madrid,2018–19,La Liga,34,3,3,0,—,—,6,0,3,1,46,4
Real Madrid,2019–20,La Liga,31,3,1,0,—,—,6,1,2,1,40,5
Real Madrid,2020–21,La Liga,35,5,0,0,—,—,12,1,1,0,48,6
Real Madrid,2021–22,La Liga,28,2,2,0,—,—,13,0,2,1,45,3
Real Madrid,2022–23,La Liga,33,4,4,0,—,—,10,2,5,0,52,6
Real Madrid,2023–24,La Liga,32,2,1,0,—,—,11,0,2,0,46,2
Real Madrid,2024–25,La Liga,35,2,5,2,—,—,14,0,9,0,63,4
Real Madrid,Total,Total,394,30,34,2,0,0,134,8,35,3,597,43
AC Milan,2025–26,Serie A,4,1,1,0,—,—,—,—,0,0,5,1
Career total,Career total,Career total,662,82,66,5,4,0,167,14,36,4,935,105
