# Appearances and goals by national team, year and competition
Team,Year,Competitive Apps,Competitive Goals,Friendly Apps,Friendly Goals,Total Apps,Total Goals
Argentina U20,1977,3,0,–,–,3,0
Argentina U20,1978,–,–,–,–,–,–
Argentina U20,1979,11,7,1,1,12,8
Argentina U20,Total,14,7,1,1,15,8
Argentina,1977,–,–,3,0,3,0
Argentina,1978,–,–,1,0,1,0
Argentina,1979,2,1,6,2,8,3
Argentina,1980,–,–,10,7,10,7
Argentina,1981,2,1,–,–,2,1
Argentina,1982,5,2,5,0,10,2
Argentina,1983,–,–,–,–,–,–
Argentina,1984,–,–,–,–,–,–
Argentina,1985,6,3,4,3,10,6
Argentina,1986,7,5,3,2,10,7
Argentina,1987,4,3,2,1,6,4
Argentina,1988,2,1,1,0,3,1
Argentina,1989,6,0,1,0,7,0
Argentina,1990,7,0,3,1,10,1
Argentina,1991,–,–,–,–,–,–
Argentina,1992,–,–,–,–,–,–
Argentina,1993,3,0,1,0,4,0
Argentina,1994,2,1,5,1,7,2
Argentina,Total,46,17,45,17,91,34
Career total,Career total,60,24,46,18,106,42
