# Table 1
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Udinese,2002–03,Serie A,12,0,2,0,—,—,—,—,14,0
Udinese,2003–04,Serie A,23,0,4,0,1,0,—,—,28,0
Udinese,2004–05,Serie A,33,2,6,0,2,0,—,—,41,2
Udinese,2005–06,Serie A,29,3,0,0,11,0,—,—,40,3
Udinese,2006–07,Serie A,28,3,2,1,—,—,—,—,30,4
Udinese,Total,Total,125,8,14,1,14,0,—,—,153,9
Portsmouth,2007–08,Premier League,29,4,4,1,—,—,—,—,33,5
Internazionale,2008–09,Serie A,27,4,3,0,7,1,1,1,38,5
Internazionale,2009–10,Serie A,27,2,5,0,9,0,1,0,42,2
Internazionale,2010–11,Serie A,8,1,1,0,3,0,1,0,13,1
Internazionale,2011–12,Serie A,4,0,0,0,0,0,—,—,4,0
Internazionale,Total,Total,66,7,9,0,19,0,3,1,97,8
Sunderland (loan),2010–11,Premier League,9,1,0,0,—,—,—,—,9,1
Milan (loan),2011–12,Serie A,13,3,1,0,0,0,—,—,14,3
Milan,2012–13,Serie A,15,1,1,0,2,1,—,—,18,2
Milan,2013–14,Serie A,26,5,0,0,8,1,—,—,34,6
Milan,2014–15,Serie A,16,2,1,0,—,—,—,—,17,2
Milan,Total,Total,70,11,3,0,10,2,—,—,83,13
Al-Ittihad,2015–16,Saudi Pro League,18,2,3,0,5,1,3,0,29,3
Pescara,2016–17,Serie A,9,1,0,0,—,—,—,—,9,1
Deportivo La Coruña,2017–18,La Liga,8,0,0,0,—,—,—,—,8,0
Albacete,2018–19,Segunda División,2,0,0,0,—,—,—,—,2,0
Hearts of Oak,2021–22,Ghana Premier League,11,1,3,0,0,0,1,0,15,1
Career total,Career total,Career total,347,35,36,2,48,3,7,1,438,41
