# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Chemnitzer FC II,1994–95,Oberliga Nordost Süd,7,2,–,–,–,–,–,–,–,–,7,2
Chemnitzer FC II,1995–96,Oberliga Nordost Süd,11,3,–,–,–,–,–,–,–,–,11,3
Chemnitzer FC II,Total,Total,18,5,0,0,0,0,0,0,0,0,18,5
Chemnitzer FC,1995–96,2. Bundesliga,15,0,1,0,–,–,–,–,–,–,16,0
Chemnitzer FC,1996–97,Regionalliga Nordost,34,10,1,0,–,–,–,–,–,–,35,10
Chemnitzer FC,Total,Total,49,10,2,0,0,0,0,0,0,0,51,10
1. FC Kaiserslautern,1997–98,Bundesliga,16,0,2,0,–,–,–,–,–,–,18,0
1. FC Kaiserslautern,1998–99,Bundesliga,30,4,2,0,1,0,6,0,–,–,39,4
1. FC Kaiserslautern,Total,Total,46,4,4,0,1,0,6,0,0,0,57,4
Bayer Leverkusen,1999–2000,Bundesliga,23,3,0,0,0,0,2,2,–,–,25,5
Bayer Leverkusen,2000–01,Bundesliga,27,7,2,0,1,0,5,2,–,–,35,9
Bayer Leverkusen,2001–02,Bundesliga,29,17,4,0,1,0,16,6,–,–,50,23
Bayer Leverkusen,Total,Total,79,27,6,0,2,0,23,10,0,0,110,37
Bayern Munich,2002–03,Bundesliga,26,10,5,4,0,0,7,1,–,–,38,15
Bayern Munich,2003–04,Bundesliga,28,7,3,2,1,2,8,0,–,–,40,11
Bayern Munich,2004–05,Bundesliga,27,13,4,3,2,2,9,2,–,–,42,20
Bayern Munich,2005–06,Bundesliga,26,14,5,1,0,0,6,1,–,–,37,16
Bayern Munich,Total,Total,107,44,17,10,3,4,30,4,0,0,157,62
Chelsea,2006–07,Premier League,26,5,3,1,6,0,10,2,1,0,46,8
Chelsea,2007–08,Premier League,18,7,2,0,3,0,7,2,0,0,30,9
Chelsea,2008–09,Premier League,29,1,6,3,1,0,10,0,–,–,46,4
Chelsea,2009–10,Premier League,32,4,4,1,2,0,6,0,1,0,45,5
Chelsea,Total,Total,105,17,15,5,12,0,33,4,2,0,167,26
Bayer Leverkusen,2010–11,Bundesliga,17,0,0,0,–,–,3,2,–,–,20,2
Bayer Leverkusen,2011–12,Bundesliga,18,2,1,0,–,–,6,1,–,–,25,3
Bayer Leverkusen,Total,Total,35,2,1,0,0,0,9,3,0,0,45,5
Career total,Career total,Career total,439,109,45,15,18,4,101,21,2,0,605,149
