# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Others Apps,Others Goals,Total Apps,Total Goals
Le Mans,1998–99,French Division 2,2,0,0,0,0,0,—,—,—,—,2,0
Le Mans,1999–2000,French Division 2,30,7,0,0,2,0,—,—,—,—,32,7
Le Mans,2000–01,French Division 2,11,0,3,1,0,0,—,—,—,—,14,1
Le Mans,2001–02,French Division 2,21,5,1,1,2,1,—,—,—,—,24,7
Le Mans,Total,Total,64,12,4,2,4,1,—,—,—,—,72,15
Guingamp,2001–02,French Division 1,11,3,0,0,0,0,—,—,—,—,11,3
Guingamp,2002–03,Ligue 1,34,17,3,4,2,0,—,—,—,—,39,21
Guingamp,Total,Total,45,20,3,4,2,0,—,—,—,—,50,24
Marseille,2003–04,Ligue 1,35,19,2,1,2,1,16,11,—,—,55,32
Chelsea,2004–05,Premier League,26,10,2,0,4,1,9,5,0,0,41,16
Chelsea,2005–06,Premier League,29,12,3,1,1,0,7,1,1,2,41,16
Chelsea,2006–07,Premier League,36,20,6,3,5,4,12,6,1,0,60,33
Chelsea,2007–08,Premier League,19,8,1,0,1,1,11,6,0,0,32,15
Chelsea,2008–09,Premier League,24,5,6,3,2,1,10,5,0,0,42,14
Chelsea,2009–10,Premier League,32,29,4,3,2,2,5,3,1,0,44,37
Chelsea,2010–11,Premier League,36,11,2,0,0,0,7,2,1,0,46,13
Chelsea,2011–12,Premier League,24,5,3,2,0,0,8,6,0,0,35,13
Chelsea,Total,Total,226,100,27,12,15,9,69,34,4,2,341,157
Shanghai Shenhua,2012,Chinese Super League,11,8,0,0,—,—,—,—,—,—,11,8
Galatasaray,2012–13,Süper Lig,13,5,0,0,—,—,4,1,0,0,17,6
Galatasaray,2013–14,Süper Lig,24,10,3,1,—,—,8,2,1,1,36,14
Galatasaray,Total,Total,37,15,3,1,—,—,12,3,1,1,53,20
Chelsea,2014–15,Premier League,28,4,2,0,5,1,5,2,0,0,40,7
Montreal Impact,2015,MLS,11,11,0,0,—,—,0,0,3,1,14,12
Montreal Impact,2016,MLS,22,10,2,1,—,—,0,0,3,0,27,11
Montreal Impact,Total,Total,33,21,2,1,—,—,0,0,6,1,41,23
Phoenix Rising,2017,USL,13,9,0,0,—,—,—,—,1,1,14,10
Phoenix Rising,2018,USL,8,4,0,0,—,—,—,—,4,3,12,7
Phoenix Rising,Total,Total,21,13,0,0,—,—,—,—,5,4,26,17
Career total,Career total,Career total,500,212,43,21,28,12,102,50,16,8,689,303
