# Appearances and goals by club, season and competition
Club,Season,League Apps,League Goals,Cup Apps,Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
AC Milan,1958–59,32,28,4,4,–,–,2,2,38,34
AC Milan,1959–60,33,20,–,–,4,2,2,4,39,26
AC Milan,1960–61,34,22,2,4,–,–,2,0,38,26
AC Milan,1961–62,33,22,–,–,2,0,–,–,35,22
AC Milan,1962–63,31,11,2,1,9,14,4,5,46,31
AC Milan,1963–64,30,14,1,0,4,4,3,1,38,19
AC Milan,1964–65,12,3,–,–,–,–,–,–,12,3
AC Milan,Total,205,120,9,9,19,20,13,12,246,161
Napoli,1965–66,34,14,2,1,-,-,5,7,41,22
Napoli,1966–67,27,16,1,1,5,1,–,–,33,18
Napoli,1967–68,29,13,2,1,3,3,–,–,34,17
Napoli,1968–69,21,5,4,2,3,1,–,–,28,8
Napoli,1969–70,15,8,3,0,3,0,5,3,26,11
Napoli,1970–71,25,7,11,4,–,–,–,–,36,11
Napoli,1971–72,29,8,5,2,2,0,–,–,36,10
Napoli,Total,180,71,28,11,16,5,10,10,234,97
Juventus,1972–73,23,9,6,0,6,3,–,–,35,12
Juventus,1973–74,21,7,8,2,2,1,1,0,32,10
Juventus,1974–75,20,8,6,0,9,5,–,–,35,13
Juventus,1975–76,10,1,4,1,3,0,–,–,17,2
Juventus,Total,74,25,24,3,20,9,1,0,119,37
Career total,Career total,459,216,61,23,55,34,24,22,599,295
