# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Copa del Rey Apps,Copa del Rey Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Barcelona C,1995–96,Segunda División B,1,0,—,—,—,—,—,—,1,0
Barcelona B,1996–97,Segunda División,1,1,—,—,—,—,—,—,1,1
Barcelona B,1997–98,Segunda División B,42,3,—,—,—,—,—,—,42,3
Barcelona B,1998–99,Segunda División,38,2,—,—,—,—,—,—,38,2
Barcelona B,1999–2000,Segunda División B,8,0,—,—,—,—,—,—,8,0
Barcelona B,Total,Total,89,6,—,—,—,—,—,—,89,6
Barcelona,1999–2000,La Liga,24,0,5,0,8,0,0,0,37,0
Barcelona,2000–01,La Liga,17,0,2,0,5,0,—,—,24,0
Barcelona,2001–02,La Liga,35,2,1,0,15,0,—,—,51,2
Barcelona,2002–03,La Liga,32,0,0,0,14,0,—,—,46,0
Barcelona,2003–04,La Liga,27,0,4,0,7,0,—,—,38,0
Barcelona,2004–05,La Liga,36,0,1,0,8,0,—,—,45,0
Barcelona,2005–06,La Liga,35,1,3,0,12,0,2,0,52,1
Barcelona,2006–07,La Liga,35,2,7,0,9,1,4,0,55,2
Barcelona,2007–08,La Liga,30,0,7,0,10,1,—,—,47,1
Barcelona,2008–09,La Liga,28,1,6,0,11,0,—,—,45,1
Barcelona,2009–10,La Liga,32,1,2,0,10,0,4,0,48,1
Barcelona,2010–11,La Liga,17,1,2,0,8,0,0,0,27,1
Barcelona,2011–12,La Liga,26,3,7,2,9,0,2,0,44,5
Barcelona,2012–13,La Liga,13,1,5,1,4,0,0,0,22,2
Barcelona,2013–14,La Liga,5,1,6,1,1,0,0,0,12,2
Barcelona,Total,Total,392,13,58,4,131,2,12,0,593,18
Career totals,Career totals,Career totals,482,19,58,4,131,2,12,0,683,24
