# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Arsenal,2003–04,Premier League,0,0,0,0,3,1,0,0,0,0,3,1
Arsenal,2004–05,Premier League,33,2,6,0,1,0,5,1,1,0,46,3
Arsenal,2005–06,Premier League,35,3,0,0,1,0,13,1,1,1,50,5
Arsenal,2006–07,Premier League,38,2,2,0,4,0,10,2,—,—,54,4
Arsenal,2007–08,Premier League,32,7,1,0,2,0,10,6,—,—,45,13
Arsenal,2008–09,Premier League,22,3,1,0,0,0,10,0,—,—,33,3
Arsenal,2009–10,Premier League,27,15,1,0,0,0,8,4,—,—,36,19
Arsenal,2010–11,Premier League,25,3,3,2,3,1,5,3,—,—,36,9
Arsenal,Total,Total,212,35,14,2,14,2,61,17,2,1,303,57
Barcelona,2011–12,La Liga,28,9,8,3,—,—,9,1,3,2,48,15
Barcelona,2012–13,La Liga,32,11,7,2,—,—,8,1,1,0,48,14
Barcelona,2013–14,La Liga,36,8,8,4,—,—,9,1,2,0,55,13
Barcelona,Total,Total,96,28,23,9,—,—,26,3,6,2,151,42
Chelsea,2014–15,Premier League,34,3,1,0,4,0,8,2,—,—,47,5
Chelsea,2015–16,Premier League,37,5,4,0,0,0,7,1,1,0,49,6
Chelsea,2016–17,Premier League,29,5,6,0,2,2,—,—,—,—,37,7
Chelsea,2017–18,Premier League,32,2,4,0,4,0,8,1,1,0,49,3
Chelsea,2018–19,Premier League,6,0,1,0,3,1,5,0,1,0,16,1
Chelsea,Total,Total,138,15,16,0,13,3,28,4,3,0,198,22
Monaco,2018–19,Ligue 1,13,1,1,0,1,0,—,—,—,—,15,1
Monaco,2019–20,Ligue 1,18,0,2,0,2,0,—,—,—,—,22,0
Monaco,2020–21,Ligue 1,21,2,5,1,—,—,—,—,—,—,26,3
Monaco,2021–22,Ligue 1,2,0,0,0,—,—,3,0,—,—,5,0
Monaco,Total,Total,54,3,8,1,3,0,3,0,—,—,68,4
Monaco B,2021–22,Championnat National 2,1,0,—,—,—,—,—,—,—,—,1,0
Como,2022–23,Serie B,17,0,0,0,—,—,—,—,—,—,17,0
Career total,Career total,Career total,518,81,61,12,30,5,118,24,11,3,738,125
