# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Copa del Rey Apps,Copa del Rey Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Racing Santander,1952–53,Primera División,10,2,4,1,—,—,—,—,14,3
Real Madrid,1953–54,Primera División,17,0,4,0,—,—,—,—,21,0
Real Madrid,1954–55,Primera División,24,6,3,0,—,—,2,0,29,6
Real Madrid,1955–56,Primera División,29,7,6,3,7,1,—,—,42,11
Real Madrid,1956–57,Primera División,27,7,3,0,8,1,2,3,40,11
Real Madrid,1957–58,Primera División,28,7,5,1,6,3,—,—,39,11
Real Madrid,1958–59,Primera División,21,7,4,2,8,1,—,—,33,10
Real Madrid,1959–60,Primera División,27,15,5,3,6,2,—,—,38,20
Real Madrid,1960–61,Primera División,28,9,8,3,2,1,1,1,39,14
Real Madrid,1961–62,Primera División,25,6,9,4,9,2,—,—,43,12
Real Madrid,1962–63,Primera División,25,7,4,1,2,1,—,—,31,9
Real Madrid,1963–64,Primera División,24,12,2,0,9,3,—,—,35,15
Real Madrid,1964–65,Primera División,23,4,3,0,6,5,—,—,32,9
Real Madrid,1965–66,Primera División,28,10,3,2,9,3,—,—,40,15
Real Madrid,1966–67,Primera División,20,11,5,0,4,0,1,0,30,11
Real Madrid,1967–68,Primera División,24,8,1,0,7,5,—,—,32,13
Real Madrid,1968–69,Primera División,26,8,2,1,2,0,—,—,30,9
Real Madrid,1969–70,Primera División,24,3,4,1,3,3,—,—,31,7
Real Madrid,1970–71,Primera División,7,0,2,0,6,0,—,—,15,0
Real Madrid,Total,Total,427,127,73,21,94,31,6,4,600,183
Career total,Career total,Career total,437,129,78,22,94,31,6,4,614,186
