# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,"Other.mw-parser-output .citation{word-wrap:break-word}.mw-parser-output .citation:target{background-color:rgba(0,127,255,0.133)} Apps","Other.mw-parser-output .citation{word-wrap:break-word}.mw-parser-output .citation:target{background-color:rgba(0,127,255,0.133)} Goals",Total Apps,Total Goals
Manchester United,1983–84,First Division,11,4,0,0,2,1,4,0,0,0,17,5
Manchester United,1984–85,First Division,38,16,7,3,2,3,8,2,—,—,55,24
Manchester United,1985–86,First Division,40,17,3,1,2,0,—,—,4,0,49,18
Manchester United,Total,Total,89,37,10,4,6,4,12,2,4,0,121,47
Barcelona,1986–87,La Liga,28,4,2,0,—,—,7,1,—,—,37,5
Bayern Munich (loan),1987–88,Bundesliga,18,6,3,1,—,—,2,0,0,0,23,7
Manchester United,1988–89,First Division,38,14,7,2,3,0,—,—,3,0,51,16
Manchester United,1989–90,First Division,37,13,8,2,3,0,—,—,—,—,48,15
Manchester United,1990–91,First Division,31,10,3,2,9,6,8,3,1,0,52,21
Manchester United,1991–92,First Division,39,11,3,1,6,0,4,2,1,0,53,14
Manchester United,1992–93,Premier League,41,15,2,0,3,1,2,0,—,—,48,16
Manchester United,1993–94,Premier League,36,12,7,4,8,5,2,0,1,1,54,22
Manchester United,1994–95,Premier League,34,8,6,2,0,0,5,2,1,0,46,12
Manchester United,Total,Total,256,83,36,13,32,12,21,7,7,1,352,116
Chelsea,1995–96,Premier League,31,8,6,4,2,0,—,—,—,—,39,12
Chelsea,1996–97,Premier League,35,8,7,5,2,1,—,—,—,—,44,14
Chelsea,1997–98,Premier League,29,9,1,0,6,2,3,1,1,1,40,13
Chelsea,Total,Total,95,25,14,9,10,3,3,1,1,1,123,39
Southampton,1998–99,Premier League,32,1,2,0,2,0,—,—,—,—,36,1
Southampton,1999–2000,Premier League,20,1,2,0,3,0,—,—,—,—,25,1
Southampton,Total,Total,52,2,4,0,5,0,—,—,—,—,61,2
Everton,1999–2000,Premier League,9,1,0,0,0,0,—,—,—,—,9,1
Everton,2000–01,Premier League,9,0,0,0,1,0,—,—,—,—,10,0
Everton,Total,Total,18,1,0,0,1,0,—,—,—,—,19,1
Blackburn Rovers,2000–01,First Division,29,5,5,0,0,0,—,—,—,—,34,5
Blackburn Rovers,2001–02,Premier League,21,1,3,0,6,1,—,—,—,—,30,2
Blackburn Rovers,Total,Total,50,6,8,0,6,1,—,—,—,—,64,7
Career total,Career total,Career total,606,164,77,27,60,20,45,11,12,2,799,224
