# Table 1
Club,Season,League Division,League Apps,League Goals,DFB-Pokal Apps,DFB-Pokal Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Borussia Mönchengladbach,1964–65,Regionalliga West,26,23,0,0,—,—,6,6,31,29
Borussia Mönchengladbach,1965–66,Bundesliga,27,12,2,0,—,—,—,—,29,12
Borussia Mönchengladbach,1966–67,Bundesliga,30,15,1,0,—,—,—,—,31,15
Borussia Mönchengladbach,Total,Total,83,50,3,0,—,—,6,6,91,56
Hannover 96,1967–68,Bundesliga,29,10,1,0,1,0,—,—,31,10
Hannover 96,1968–69,Bundesliga,34,9,4,2,6,5,—,—,44,16
Hannover 96,1969–70,Bundesliga,23,6,1,2,2,1,—,—,26,9
Hannover 96,Total,Total,86,25,6,4,9,6,—,—,101,35
Borussia Mönchengladbach,1970–71,Bundesliga,33,19,6,2,4,2,—,—,43,23
Borussia Mönchengladbach,1971–72,Bundesliga,31,19,5,2,4,1,—,—,40,22
Borussia Mönchengladbach,1972–73,Bundesliga,33,28,9,7,11,12,,,53,47
Borussia Mönchengladbach,1973–74,Bundesliga,33,30,3,2,7,8,—,—,43,40
Borussia Mönchengladbach,1974–75,Bundesliga,31,27,2,4,10,11,—,—,43,42
Borussia Mönchengladbach,1975–76,Bundesliga,24,12,4,1,6,6,—,—,34,19
Borussia Mönchengladbach,1976–77,Bundesliga,20,15,0,0,7,1,,,27,16
Borussia Mönchengladbach,1977–78,Bundesliga,21,18,0,0,6,4,0,0,27,22
Borussia Mönchengladbach,Total,Total,226,168,29,18,54,45,0,0,309,232
Career total,Career total,Career total,395,243,38,22,63,51,6,6,501,324
