# List of international goals scored by Allan Simonsen
No.,Date,Venue,Opponent,Score,Result,Competition
1,3 July 1972,"Laugardalsvöllur, Reykjavík, Iceland",Iceland,2–2,5–2,Friendly
2,3 July 1972,"Laugardalsvöllur, Reykjavík, Iceland",Iceland,4–2,5–2,Friendly
3,27 August 1972,"Drei Flüsse Stadion, Passau, Germany",Brazil,1–0,3–2,1972 Summer Olympics
4,27 August 1972,"Drei Flüsse Stadion, Passau, Germany",Brazil,3–2,3–2,1972 Summer Olympics
5,29 August 1972,"Rosenaustadion, Augsburg, Germany",Iran,2–0,4–0,1972 Summer Olympics
6,3 September 1974,"Idrætsparken, Copenhagen, Denmark",Indonesia,4–0,9–0,Friendly
7,23 May 1976,"Tsirion Stadium, Limassol, Cyprus",Cyprus,1–1,5–1,1978 World Cup qualification
8,1 May 1977,"Idrætsparken, Copenhagen, Denmark",Poland,1–1,1–2,1978 World Cup qualification
9,15 June 1977,"Idrætsparken, Copenhagen, Denmark",Sweden,2–1,2–1,1972–77 Nordic Championship
10,20 September 1978,"Idrætsparken, Copenhagen, Denmark",England,1–2,3–4,1980 European Championship qualification
11,6 June 1979,"Idrætsparken, Copenhagen, Denmark",Northern Ireland,3–0,4–0,1980 European Championship qualification
12,21 May 1980,"Idrætsparken, Copenhagen, Denmark",Spain,1–1,2–2,Friendly
13,19 November 1980,"Idrætsparken, Copenhagen, Denmark",Luxembourg,4–0,4–0,1982 World Cup qualification
14,15 April 1981,"Idrætsparken, Copenhagen, Denmark",Romania,1–1,2–1,Friendly
15,26 August 1981,"Idrætsparken, Copenhagen, Denmark",Iceland,2–0,3–0,Friendly
16,26 August 1981,"Idrætsparken, Copenhagen, Denmark",Iceland,3–0,3–0,Friendly
17,1 June 1983,"Idrætsparken, Copenhagen, Denmark",Hungary,3–1,3–1,1984 European Championship qualification
18,21 September 1983,"Wembley Stadium, London, UK",England,1–0,1–0,1984 European Championship qualification
19,12 October 1983,"Idrætsparken, Copenhagen, Denmark",Luxembourg,4–0,6–0,1984 European Championship qualification
20,16 November 1983,"Olympic Stadium, Athens, Greece",Greece,2–0,2–0,1984 European Championship qualification
