# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Bayern Munich II,2001–02,Regionalliga Süd,4,0,—,—,—,—,—,—,—,—,4,0
Bayern Munich II,2002–03,Regionalliga Süd,23,2,1,0,—,—,—,—,—,—,24,2
Bayern Munich II,2003–04,Regionalliga Süd,4,0,—,—,—,—,—,—,—,—,4,0
Bayern Munich II,2004–05,Regionalliga Süd,3,0,1,0,—,—,—,—,—,—,4,0
Bayern Munich II,Total,Total,34,2,2,0,—,—,—,—,—,—,36,2
Bayern Munich,2002–03,Bundesliga,14,0,1,2,0,0,1,0,—,—,16,2
Bayern Munich,2003–04,Bundesliga,26,4,3,0,1,0,3,0,—,—,33,4
Bayern Munich,2004–05,Bundesliga,26,3,5,0,0,0,7,1,—,—,38,4
Bayern Munich,2005–06,Bundesliga,30,3,4,0,1,0,7,0,—,—,42,3
Bayern Munich,2006–07,Bundesliga,27,4,3,0,2,0,8,2,—,—,40,6
Bayern Munich,2007–08,Bundesliga,30,1,4,0,2,1,12,0,—,—,48,2
Bayern Munich,2008–09,Bundesliga,31,5,4,2,—,—,9,2,—,—,44,9
Bayern Munich,2009–10,Bundesliga,33,2,4,1,—,—,12,0,—,—,49,3
Bayern Munich,2010–11,Bundesliga,32,4,5,2,—,—,7,2,1,0,45,8
Bayern Munich,2011–12,Bundesliga,22,3,3,1,—,—,11,1,—,—,36,5
Bayern Munich,2012–13,Bundesliga,28,7,5,0,—,—,12,2,—,—,45,9
Bayern Munich,2013–14,Bundesliga,23,4,4,1,—,—,8,3,1,0,36,8
Bayern Munich,2014–15,Bundesliga,20,5,2,0,—,—,6,0,0,0,28,5
Bayern Munich,Total,Total,342,45,47,9,6,1,103,13,2,0,500,68
Manchester United,2015–16,Premier League,18,1,2,0,1,0,10,0,—,—,31,1
Manchester United,2016–17,Premier League,0,0,2,1,1,0,1,0,0,0,4,1
Manchester United,Total,Total,18,1,4,1,2,0,11,0,—,—,35,2
Chicago Fire,2017,MLS,24,3,1,0,—,—,—,—,1,0,26,3
Chicago Fire,2018,MLS,31,4,4,0,—,—,—,—,—,—,35,4
Chicago Fire,2019,MLS,30,1,0,0,—,—,—,—,1,0,31,1
Chicago Fire,Total,Total,85,8,5,0,—,—,—,—,2,0,92,8
Career total,Career total,Career total,479,56,58,10,8,1,114,13,4,0,663,80
