# List of international goals scored by Nicolas Anelka
No.,Date,Venue,Opponent,Score,Result,Competition,Ref.
1,10 October 1998,"Luzhniki Stadium, Moscow, Russia",Russia,1–0,3–2,UEFA Euro 2000 qualifying,
2,10 February 1999,"Wembley Stadium, London, England",England,1–0,2–0,Friendly,
3,10 February 1999,"Wembley Stadium, London, England",England,2–0,2–0,Friendly,
4,6 June 2000,"Stade Mohammed V, Casablanca, Morocco",Morocco,4–1,5–1,Friendly,
5,16 August 2000,"Stade Vélodrome, Marseille, France",World XI,5–0,5–1,Friendly,
6,30 May 2001,"Daegu Stadium, Daegu, South Korea",South Korea,3–0,5–0,2001 FIFA Confederations Cup,
7,9 November 2005,"Stade Pierre-Aliker, Fort-de-France, France",Costa Rica,1–2,3–2,Friendly,
8,11 October 2006,"Stade Auguste-Bonal, Montbéliard, France",Faroe Islands,3–0,5–0,UEFA Euro 2008 qualifying,
9,24 March 2007,"Darius and Girėnas Stadium, Kaunas, Lithuania",Lithuania,1–0,1–0,UEFA Euro 2008 qualifying,
10,2 June 2007,"Stade de France, Saint-Denis, France",Ukraine,2–0,2–0,UEFA Euro 2008 qualifying,
11,13 October 2007,"Tórsvøllur, Tórshavn, Faroe Islands",Faroe Islands,1–0,6–0,UEFA Euro 2008 qualifying,
12,10 September 2008,"Stade de France, Saint-Denis, France",Serbia,2–0,2–1,2010 FIFA World Cup qualification,
13,10 October 2009,"Stade de Roudourou, Guingamp, France",Faroe Islands,4–0,5–0,2010 FIFA World Cup qualification,
14,14 November 2009,"Croke Park, Dublin, Republic of Ireland",Republic of Ireland,1–0,1–0,2010 FIFA World Cup qualification,
