# Table 1
Country,Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Iran,Persepolis,1994–95,Azadegan League,25,15,0,0,—,—,—,—,25,15
Iran,Persepolis,1995–96,Azadegan League,13,8,—,—,4,2,2,1,19,11
Iran,Persepolis,Total,Total,38,23,0,0,4,2,2,1,44,26
Qatar,Al Sadd,1996–97,QSL,16,10,2,0,—,—,—,—,18,10
Qatar,Al Sadd,Total,Total,16,10,2,0,—,—,—,—,18,10
Germany,Arminia Bielefeld,1997–98,Bundesliga,25,7,1,0,—,—,—,—,26,7
Germany,Bayern Munich,1998–99,Bundesliga,23,6,4,0,5,0,—,—,32,6
Germany,Hertha BSC,1999–2000,Bundesliga,28,3,2,0,13,4,1,0,44,7
Germany,Hertha BSC,2000–01,Bundesliga,23,3,2,0,5,2,2,0,32,5
Germany,Hertha BSC,2001–02,Bundesliga,8,0,3,0,1,0,—,—,12,0
Germany,Hertha BSC,Total,Total,59,6,7,0,19,6,3,0,88,12
UAE,Al Shabab,2002–03,UPL,21,11,0,0,—,—,—,—,21,11
UAE,Al Shabab,Total,Total,21,11,0,0,—,—,—,—,21,11
Iran,Persepolis,2003–04,Iran Pro League,28,16,2,1,—,—,—,—,30,17
Iran,Saba Battery,2004–05,Iran Pro League,25,12,5,3,—,—,—,—,30,15
Iran,Saba Battery,2005–06,Iran Pro League,26,11,2,2,6,5,1,2,35,20
Iran,Saba Battery,Total,Total,51,23,7,5,6,5,1,2,65,35
Iran,Saipa,2006–07,Iran Pro League,26,10,1,0,—,—,—,—,27,10
Iran,Saipa,Total,Total,26,10,1,0,—,—,—,—,27,10
,Career total,Career total,Career total,287,112,24,6,34,13,6,3,351,134
