# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
CSKA Sofia,1996–97,A Group,5,0,,,–,–,–,–,5,0
CSKA Sofia,1997–98,A Group,11,0,2,0,–,–,–,–,13,0
CSKA Sofia,1998–99,A Group,29,3,1,0,–,–,8,0,38,3
CSKA Sofia,Total,Total,45,3,3,0,–,–,8,0,56,3
Celtic,1999–2000,Scottish Premier League,26,1,0,0,2,0,1,0,29,1
Celtic,2000–01,Scottish Premier League,28,7,3,0,2,0,5,0,38,7
Celtic,2001–02,Scottish Premier League,28,6,5,1,3,0,8,1,44,8
Celtic,2002–03,Scottish Premier League,34,12,0,0,2,0,14,2,50,14
Celtic,2003–04,Scottish Premier League,35,6,5,3,0,0,15,1,55,7
Celtic,2004–05,Scottish Premier League,37,11,5,1,1,0,6,0,49,12
Celtic,2005–06,Scottish Premier League,37,10,0,0,4,0,2,0,43,10
Celtic,2006–07,Scottish Premier League,3,2,–,–,–,–,–,–,3,2
Celtic,Total,Total,228,55,18,5,14,0,51,4,311,64
Aston Villa,2006–07,Premier League,30,2,1,0,3,0,–,–,34,2
Aston Villa,2007–08,Premier League,28,1,1,0,2,0,–,–,31,1
Aston Villa,2008–09,Premier League,36,1,3,0,1,0,7,1,47,2
Aston Villa,2009–10,Premier League,37,0,3,1,6,0,1,0,47,1
Aston Villa,2010–11,Premier League,27,1,2,1,0,0,1,0,30,2
Aston Villa,2011–12,Premier League,27,4,2,0,1,0,–,–,30,4
Aston Villa,2012–13,Premier League,0,0,0,0,0,0,–,–,0,0
Aston Villa,Total,Total,185,9,12,2,13,0,9,1,219,12
Career total,Career total,Career total,458,67,33,7,27,0,68,5,586,79
