# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Queen's Park,2012–13,Scottish Third Division,34,2,2,0,3,0,—,—,4,0,43,2
Dundee United,2013–14,Scottish Premiership,36,3,5,2,3,0,—,—,—,—,44,5
Hull City,2014–15,Premier League,24,0,0,0,0,0,0,0,—,—,24,0
Hull City,2015–16,Championship,42,2,2,0,5,1,—,—,3,1,52,4
Hull City,2016–17,Premier League,33,1,2,0,4,0,—,—,—,—,39,1
Hull City,Total,Total,99,3,4,0,9,1,0,0,3,1,115,5
Liverpool,2017–18,Premier League,22,1,1,0,1,0,6,0,—,—,30,1
Liverpool,2018–19,Premier League,36,0,0,0,0,0,12,0,—,—,48,0
Liverpool,2019–20,Premier League,36,2,1,0,0,0,8,1,4,0,49,3
Liverpool,2020–21,Premier League,38,1,1,0,0,0,10,0,1,0,50,1
Liverpool,2021–22,Premier League,29,3,4,0,4,0,10,0,—,—,47,3
Liverpool,2022–23,Premier League,34,0,2,0,1,0,5,0,1,0,43,0
Liverpool,2023–24,Premier League,23,3,2,0,1,0,4,0,—,—,30,3
Liverpool,2024–25,Premier League,33,0,0,0,4,0,8,0,—,—,45,0
Liverpool,2025–26,Premier League,2,0,0,0,1,0,1,1,1,0,5,1
Liverpool,Total,Total,253,10,11,0,12,0,64,2,7,0,347,12
Career total,Career total,Career total,422,18,22,2,27,1,64,2,14,1,549,24
