# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
INF Vichy,1981–82,Division 3,17,3,0,0,—,—,—,—,—,—,17,3
INF Vichy,1982–83,Division 3,3,0,1,0,—,—,—,—,—,—,4,0
INF Vichy,1983–84,Division 3,29,10,0,0,—,—,—,—,—,—,29,10
INF Vichy,Total,Total,49,13,1,0,—,—,—,—,—,—,50,13
Valenciennes,1984–85,Division 2,33,15,2,2,0,0,—,—,—,—,35,17
Club Brugge,1985–86,Belgian First Division,33,21,8,7,—,—,4,5,—,—,45,33
Marseille,1986–87,Division 1,33,13,7,1,4,2,—,—,—,—,44,16
Marseille,1987–88,Division 1,37,19,1,0,0,0,8,4,—,—,46,23
Marseille,1988–89,Division 1,35,22,10,11,0,0,—,—,—,—,46,33
Marseille,1989–90,Division 1,36,30,4,2,0,0,8,6,—,—,48,38
Marseille,1990–91,Division 1,36,23,5,7,0,0,9,6,—,—,50,36
Marseille,1991–92,Division 1,37,27,4,4,0,0,4,7,—,—,45,38
Marseille,Total,Total,214,134,31,25,4,2,29,23,—,—,278,184
AC Milan,1992–93,Serie A,22,13,4,4,—,—,7,3,1,0,34,20
AC Milan,1993–94,Serie A,18,5,2,0,—,—,6,4,3,2,29,11
AC Milan,Total,Total,40,18,6,4,—,—,13,7,4,2,63,31
Bayern Munich,1994–95,Bundesliga,7,1,1,0,—,—,3,2,1,0,12,3
Bayern Munich,1995–96,Bundesliga,20,2,2,0,—,—,6,1,—,—,28,3
Bayern Munich,Total,Total,27,3,3,0,—,—,9,3,1,0,40,6
Bordeaux,1996–97,Division 1,32,16,2,0,4,0,—,—,—,—,38,16
Bordeaux,1997–98,Division 1,23,6,2,3,5,5,2,0,—,—,32,14
Bordeaux,Total,Total,55,22,4,3,9,5,2,0,—,—,70,30
Guingamp,1998–99,Division 2,10,3,0,0,0,0,—,—,—,—,10,3
JS Saint-Pierroise,1999–00,Division d'Honneur,12,4,—,—,—,—,—,—,—,—,12,4
JS Saint-Pierroise,2000–01,Division d'Honneur,15,9,—,—,—,—,—,—,—,—,15,9
JS Saint-Pierroise,Total,Total,27,13,—,—,—,—,—,—,—,—,27,13
US Lège-Cap-Ferret,2001–02,CFA 2,24,8,0,0,—,—,—,—,—,—,24,8
US Lège-Cap-Ferret,2002–03,CFA 2,17,7,2,0,—,—,—,—,—,—,19,7
US Lège-Cap-Ferret,2003–04,CFA 2,16,9,2,2,—,—,—,—,—,—,18,11
US Lège-Cap-Ferret,Total,Total,57,24,4,2,—,—,—,—,—,—,61,26
Career total,Career total,Career total,545,266,59,43,13,7,57,38,5,2,679,356
