# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,FA Cup Apps,FA Cup Goals,League Cup Apps,League Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Arsenal,1989–90,First Division,0,0,0,0,0,0,—,—,0,0,0,0
Arsenal,1990–91,First Division,1,0,0,0,0,0,—,—,—,—,1,0
Arsenal,1991–92,First Division,0,0,0,0,0,0,0,0,1,0,1,0
Arsenal,Total,Total,1,0,0,0,0,0,0,0,1,0,2,0
Fulham (loan),1991–92,Third Division,13,3,—,—,—,—,—,—,2,1,15,4
Bristol City (loan),1991–92,Second Division,12,8,—,—,—,—,—,—,—,—,12,8
Bristol City,1992–93,First Division,29,12,1,0,3,4,—,—,4,1,37,17
Bristol City,Total,Total,41,20,1,0,3,4,—,—,4,1,49,25
Newcastle United,1992–93,First Division,12,12,—,—,—,—,—,—,—,—,12,12
Newcastle United,1993–94,Premier League,40,34,3,1,2,6,—,—,—,—,45,41
Newcastle United,1994–95,Premier League,18,9,1,0,5,2,3,4,—,—,27,15
Newcastle United,Total,Total,70,55,4,1,7,8,3,4,—,—,84,68
Manchester United,1994–95,Premier League,18,12,—,—,—,—,—,—,—,—,18,12
Manchester United,1995–96,Premier League,34,11,7,2,1,0,1,0,—,—,43,13
Manchester United,1996–97,Premier League,20,6,3,0,0,0,5,1,0,0,28,7
Manchester United,1997–98,Premier League,33,15,3,5,1,0,7,5,1,0,45,25
Manchester United,1998–99,Premier League,32,17,7,2,0,0,10,5,1,0,50,24
Manchester United,1999–2000,Premier League,28,19,—,—,0,0,13,3,4,0,45,22
Manchester United,2000–01,Premier League,19,9,1,0,0,0,10,4,1,0,31,13
Manchester United,2001–02,Premier League,11,4,—,—,0,0,4,1,0,0,15,5
Manchester United,Total,Total,195,93,21,9,2,0,50,19,7,0,275,121
Blackburn Rovers,2001–02,Premier League,15,9,2,1,3,3,—,—,—,—,20,13
Blackburn Rovers,2002–03,Premier League,34,7,2,2,4,4,3,0,—,—,43,13
Blackburn Rovers,2003–04,Premier League,34,11,1,0,1,0,1,0,—,—,37,11
Blackburn Rovers,Total,Total,83,27,5,3,8,7,4,0,—,—,100,37
Fulham,2004–05,Premier League,31,12,5,0,3,1,—,—,—,—,39,13
Manchester City,2005–06,Premier League,22,9,1,1,0,0,—,—,—,—,23,10
Portsmouth,2006–07,Premier League,18,3,2,1,2,0,—,—,—,—,22,4
Birmingham City (loan),2006–07,Championship,5,1,—,—,—,—,—,—,—,—,5,1
Sunderland,2007–08,Premier League,7,0,1,0,0,0,—,—,—,—,8,0
Burnley (loan),2007–08,Championship,13,6,—,—,—,—,—,—,—,—,13,6
Nottingham Forest,2008–09,Championship,10,0,0,0,1,0,—,—,—,—,11,0
Total,Total,Total,509,229,40,15,26,20,57,23,14,2,646,289
