# List of international goals scored by Hristo Stoichkov
No.,Date,Venue,Opponent,Score,Result,Competition
1,21 January 1988,"Jassim bin Hamad Stadium, Doha, Qatar",Qatar,3–2,3–2,Friendly
2,9 August 1988,"Ullevaal Stadion, Oslo, Norway",Norway,1–1,1–1,Friendly
3,24 August 1988,"Stadion Hetman, Białystok, Poland",Poland,1–3,2–3,Friendly
4,21 September 1988,"Vasil Levski National Stadium, Sofia, Bulgaria",Soviet Union,2–2,2–2,Friendly
5,11 October 1989,"Yuri Gagarin Stadium, Varna, Bulgaria",Greece,4–0,4–0,1990 FIFA World Cup qualification
6,25 September 1991,"Vasil Levski National Stadium, Sofia, Bulgaria",Italy,2–0,2–1,Friendly
7,16 October 1991,"Vasil Levski National Stadium, Sofia, Bulgaria",San Marino,2–0,4–0,UEFA Euro 1992 qualifying
8,19 August 1992,"Vasil Levski National Stadium, Sofia, Bulgaria",Mexico,1–1,1–1,Friendly
9,9 September 1992,"Vasil Levski National Stadium, Sofia, Bulgaria",France,1–0,2–0,1994 FIFA World Cup qualification
10,28 April 1993,"Vasil Levski National Stadium, Sofia, Bulgaria",Finland,1–0,2–0,1994 FIFA World Cup qualification
11,12 May 1993,"Vasil Levski National Stadium, Sofia, Bulgaria",Israel,1–0,2–2,1994 FIFA World Cup qualification
12,8 September 1993,"Vasil Levski National Stadium, Sofia, Bulgaria",Sweden,1–0,1–1,1994 FIFA World Cup qualification
13,13 October 1993,"Vasil Levski National Stadium, Sofia, Bulgaria",Austria,2–0,4–1,1994 FIFA World Cup qualification
14,26 June 1994,"Soldier Field, Chicago, United States",Greece,1–0,4–0,1994 FIFA World Cup
15,26 June 1994,"Soldier Field, Chicago, United States",Greece,2–0,4–0,1994 FIFA World Cup
16,30 June 1994,"Cotton Bowl, Dallas, United States",Argentina,1–0,2–0,1994 FIFA World Cup
17,5 July 1994,"Giants Stadium, East Rutherford, United States",Mexico,1–0,1–1 (3–1 p.,1994 FIFA World Cup
18,10 July 1994,"Giants Stadium, East Rutherford, United States",Germany,1–1,2–1,1994 FIFA World Cup
19,13 July 1994,"Giants Stadium, East Rutherford, United States",Italy,1–2,1–2,1994 FIFA World Cup
20,16 November 1994,"Vasil Levski National Stadium, Sofia, Bulgaria",Moldova,1–0,4–1,UEFA Euro 1996 qualifying
21,16 November 1994,"Vasil Levski National Stadium, Sofia, Bulgaria",Moldova,3–1,4–1,UEFA Euro 1996 qualifying
22,14 December 1994,"Arms Park, Cardiff, Wales",Wales,3–0,3–0,UEFA Euro 1996 qualifying
23,26 April 1995,"Stadionul Republican, Chișinău, Moldova",Moldova,2–0,3–0,UEFA Euro 1996 qualifying
24,26 April 1995,"Stadionul Republican, Chișinău, Moldova",Moldova,3–0,3–0,UEFA Euro 1996 qualifying
25,7 June 1995,"Vasil Levski National Stadium, Sofia, Bulgaria",Germany,1–2,3–2,UEFA Euro 1996 qualifying
26,7 June 1995,"Vasil Levski National Stadium, Sofia, Bulgaria",Germany,2–2,3–2,UEFA Euro 1996 qualifying
27,6 September 1995,"Qemal Stafa Stadium, Tirana, Albania",Albania,1–0,1–1,UEFA Euro 1996 qualifying
28,11 October 1995,"Boris Paichadze National Stadium, Tbilisi, Georgia",Georgia,1–2,1–2,UEFA Euro 1996 qualifying
29,15 November 1995,"Olympiastadion, Berlin, Germany",Germany,1–0,1–3,UEFA Euro 1996 qualifying
30,28 May 1996,"Vasil Levski National Stadium, Sofia, Bulgaria",Macedonia,2–0,3–0,Friendly
31,2 June 1996,"Vasil Levski National Stadium, Sofia, Bulgaria",United Arab Emirates,2–0,4–1,Friendly
32,9 June 1996,"Elland Road, Leeds, England",Spain,1–0,1–1,UEFA Euro 1996
33,13 June 1996,"St James' Park, Newcastle, England",Romania,1–0,1–0,UEFA Euro 1996
34,18 June 1996,"St James' Park, Newcastle, England",France,1–2,1–3,UEFA Euro 1996
35,8 June 1997,"Neftochimik Stadium, Burgas, Bulgaria",Luxembourg,1–0,4–0,1998 FIFA World Cup qualification
36,5 June 1998,"Vasil Levski National Stadium, Sofia, Bulgaria",Algeria,1–0,2–0,Friendly
—,19 February 1999,"Mong Kok Stadium, Mong Kok, Hong Kong",Hong Kong League XI,1–0,3–0,"Carlsberg Cup, considered unofficial friendly"
37,31 March 1999,"Stade Josy Barthel, Luxembourg, Luxembourg",Luxembourg,1–0,2–0,UEFA Euro 2000 qualifying
