# List of international goals scored by Arjen Robben
No.,Date,Venue,Opponent,Score,Result,Competition,Ref.
1,11 October 2003,"Philips Stadion, Eindhoven, Netherlands",Moldova,5–0,5–0,UEFA Euro 2004 qualification,
2,18 February 2004,"Amsterdam Arena, Amsterdam, Netherlands",United States,1–0,1–0,Friendly,
3,17 November 2004,"Mini Estadi, Barcelona, Spain",Andorra,2–0,3–0,2006 FIFA World Cup qualification,
4,4 June 2005,"De Kuip, Rotterdam, Netherlands",Romania,1–0,2–0,2006 FIFA World Cup qualification,
5,17 August 2005,"De Kuip, Rotterdam, Netherlands",Germany,1–0,2–2,Friendly,
6,17 August 2005,"De Kuip, Rotterdam, Netherlands",Germany,2–0,2–2,Friendly,
7,11 June 2006,"Zentralstadion, Leipzig, Germany",Serbia and Montenegro,1–0,1–0,2006 FIFA World Cup,
8,16 August 2006,"Lansdowne Road, Dublin, Republic of Ireland",Republic of Ireland,2–0,4–0,Friendly,
9,1 June 2008,"De Kuip, Rotterdam, Netherlands",Wales,1–0,2–0,Friendly,
10,13 June 2008,"Stade de Suisse, Bern, Switzerland",France,3–1,4–1,UEFA Euro 2008,
11,10 June 2009,"De Kuip, Rotterdam, Netherlands",Norway,2–0,2–0,2010 FIFA World Cup qualification,
12,5 June 2010,"Amsterdam Arena, Amsterdam, Netherlands",Hungary,3–1,6–1,Friendly,
13,5 June 2010,"Amsterdam Arena, Amsterdam, Netherlands",Hungary,6–1,6–1,Friendly,
14,28 June 2010,"Moses Mabhida Stadium, Durban, South Africa",Slovakia,1–0,2–1,2010 FIFA World Cup,
15,6 July 2010,"Cape Town Stadium, Cape Town, South Africa",Uruguay,3–1,3–2,2010 FIFA World Cup,
16,29 February 2012,"Wembley Stadium, London, England",England,1–0,3–2,Friendly,
17,29 February 2012,"Wembley Stadium, London, England",England,3–2,3–2,Friendly,
18,7 June 2013,"Gelora Bung Karno Stadium, Jakarta, Indonesia",Indonesia,3–0,3–0,Friendly,
19,6 September 2013,"A. Le Coq Arena, Tallinn, Estonia",Estonia,1–0,2–2,2014 FIFA World Cup qualification,
20,11 October 2013,"Amsterdam Arena, Amsterdam, Netherlands",Hungary,8–1,8–1,2014 FIFA World Cup qualification,
21,15 October 2013,"Şükrü Saracoğlu Stadium, Istanbul, Turkey",Turkey,1–0,2–0,2014 FIFA World Cup qualification,
22,16 November 2013,"Cristal Arena, Genk, Belgium",Japan,2–0,2–2,Friendly,
23,4 June 2014,"Amsterdam Arena, Amsterdam, Netherlands",Wales,1–0,2–0,Friendly,
24,13 June 2014,"Itaipava Arena Fonte Nova, Salvador, Brazil",Spain,2–1,5–1,2014 FIFA World Cup,
25,13 June 2014,"Itaipava Arena Fonte Nova, Salvador, Brazil",Spain,5–1,5–1,2014 FIFA World Cup,
26,18 June 2014,"Estádio Beira-Rio, Porto Alegre, Brazil",Australia,1–0,3–2,2014 FIFA World Cup,
27,16 November 2014,"Amsterdam Arena, Amsterdam, Netherlands",Latvia,2–0,6–0,UEFA Euro 2016 qualification,
28,16 November 2014,"Amsterdam Arena, Amsterdam, Netherlands",Latvia,5–0,6–0,UEFA Euro 2016 qualification,
29,16 November 2015,"Cardiff City Stadium, Cardiff, Wales",Wales,2–1,3–2,Friendly,
30,16 November 2015,"Cardiff City Stadium, Cardiff, Wales",Wales,3–2,3–2,Friendly,
31,13 November 2016,"Stade Josy Barthel, Luxembourg City, Luxembourg",Luxembourg,1–0,3–1,2018 FIFA World Cup qualification,
32,4 June 2017,"De Kuip, Rotterdam, Netherlands",Ivory Coast,2–0,5–0,Friendly,
33,9 June 2017,"De Kuip, Rotterdam, Netherlands",Luxembourg,1–0,5–0,2018 FIFA World Cup qualification,
34,3 September 2017,"Amsterdam Arena, Amsterdam, Netherlands",Bulgaria,2–0,3–1,2018 FIFA World Cup qualification,
35,7 October 2017,"Borisov Arena, Barysaw, Belarus",Belarus,2–1,3–1,2018 FIFA World Cup qualification,
36,10 October 2017,"Amsterdam Arena, Amsterdam, Netherlands",Sweden,1–0,2–0,2018 FIFA World Cup qualification,
37,10 October 2017,"Amsterdam Arena, Amsterdam, Netherlands",Sweden,2–0,2–0,2018 FIFA World Cup qualification,
