# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
AZ,1988–89,Eerste Divisie,15,4,2.0,1.0,–,–,–,–,17,5
AZ,1989–90,Eerste Divisie,35,4,1.0,0.0,–,–,–,–,36,4
AZ,Total,Total,50,8,3.0,1.0,–,–,–,–,53,9
Vitesse,1990–91,Eredivisie,8,0,0.0,0.0,–,–,–,–,8,0
Vitesse,1991–92,Eredivisie,33,3,2.0,0.0,–,–,–,–,35,3
Vitesse,1992–93,Eredivisie,34,6,2.0,1.0,6,1,–,–,42,8
Vitesse,1993–94,Eredivisie,33,11,1.0,0.0,2,0,–,–,36,11
Vitesse,1994–95,Eredivisie,29,5,1.0,1.0,2,0,–,–,32,6
Vitesse,Total,Total,137,25,6.0,2.0,10,1,–,–,153,28
PSV,1995–96,Eredivisie,29,12,4.0,2.0,8,2,–,–,41,16
PSV,1996–97,Eredivisie,34,8,2.0,0.0,4,1,1,0,41,9
PSV,1997–98,Eredivisie,32,11,5.0,3.0,6,1,1,2,44,17
PSV,Total,Total,95,31,11.0,5.0,18,4,2,2,126,42
Barcelona,1998–99,La Liga,36,12,4.0,0.0,5,0,2,0,47,12
Barcelona,1999–2000,La Liga,35,6,2.0,0.0,14,2,2,0,53,8
Barcelona,2000–01,La Liga,35,3,7.0,0.0,13,1,–,–,55,4
Barcelona,2001–02,La Liga,34,2,0.0,0.0,16,0,–,–,50,2
Barcelona,2002–03,La Liga,29,3,0.0,0.0,10,2,–,–,39,5
Barcelona,2003–04,La Liga,36,5,5.0,0.0,7,1,–,–,48,6
Barcelona,Total,Total,205,31,18.0,0.0,65,6,4,0,292,37
PSV,2004–05,Eredivisie,29,6,3.0,1.0,13,3,–,–,45,10
PSV,2005–06,Eredivisie,33,10,4.0,2.0,8,1,1,0,46,13
PSV,2006–07,Eredivisie,32,7,2.0,0.0,7,0,1,1,42,8
PSV,Total,Total,94,23,9.0,3.0,28,4,2,1,133,31
Al Jazira,2007–08,UAE Football League,17,4,,,–,–,,,17,4
Career total,Career total,Career total,598,122,47.0,11.0,121,15,8,3,774,151
