# List of international goals scored by Michael Laudrup
No.,Date,Venue,Opponent,Score,Result,Competition
1,15 June 1982,"Ullevaal Stadion, Oslo, Norway",Norway,1–2,1–2,1981–85 Nordic Football Championship
2,27 October 1982,"Københavns Idrætspark, Copenhagen, Denmark",Czechoslovakia,1–2,1–3,Friendly
3,22 June 1983,"Aarhus Idrætspark, Aarhus, Denmark",Finland,2–0,3–0,1984 Summer Olympics qualification
4,22 June 1983,"Aarhus Idrætspark, Aarhus, Denmark",Finland,3–0,3–0,1984 Summer Olympics qualification
5,7 September 1983,"Københavns Idrætspark, Copenhagen, Denmark",France,1–0,3–1,Friendly
6,7 September 1983,"Københavns Idrætspark, Copenhagen, Denmark",France,3–1,3–1,Friendly
7,12 October 1983,"Københavns Idrætspark, Copenhagen, Denmark",Luxembourg,1–0,6–0,UEFA Euro 1984 qualifying
8,12 October 1983,"Københavns Idrætspark, Copenhagen, Denmark",Luxembourg,2–0,6–0,UEFA Euro 1984 qualifying
9,12 October 1983,"Københavns Idrætspark, Copenhagen, Denmark",Luxembourg,6–0,6–0,UEFA Euro 1984 qualifying
10,8 June 1984,"Københavns Idrætspark, Copenhagen, Denmark",Bulgaria,1–0,1–1,Friendly
11,12 September 1984,"Københavns Idrætspark, Copenhagen, Denmark",Austria,1–0,3–1,Friendly
12,8 May 1985,"Københavns Idrætspark, Copenhagen, Denmark",East Germany,1–0,4–1,Friendly
13,8 May 1985,"Københavns Idrætspark, Copenhagen, Denmark",East Germany,2–0,4–1,Friendly
14,5 June 1985,"Københavns Idrætspark, Copenhagen, Denmark",Soviet Union,3–1,4–2,1986 FIFA World Cup qualification
15,5 June 1985,"Københavns Idrætspark, Copenhagen, Denmark",Soviet Union,4–1,4–2,1986 FIFA World Cup qualification
16,16 October 1985,"Ullevaal Stadion, Oslo, Norway",Norway,1–1,5–1,1986 FIFA World Cup qualification
17,13 November 1985,"Lansdowne Road, Dublin, Republic of Ireland",Republic of Ireland,2–1,4–1,1986 FIFA World Cup qualification
18,8 June 1986,"Estadio Neza 86, Nezahualcóyotl, Mexico",Uruguay,3–1,6–1,1986 FIFA World Cup
19,11 June 1988,"Niedersachsenstadion, Hanover, West Germany",Spain,1–1,2–3,UEFA Euro 1988
20,17 May 1989,"Københavns Idrætspark, Copenhagen, Denmark",Greece,7–1,7–1,1990 FIFA World Cup qualification
21,14 June 1989,"Københavns Idrætspark, Copenhagen, Denmark",Sweden,6–0,6–0,1989 Tri Tournament
22,18 June 1989,"Københavns Idrætspark, Copenhagen, Denmark",Brazil,2–0,4–0,1989 Tri Tournament
23,18 June 1989,"Københavns Idrætspark, Copenhagen, Denmark",Brazil,3–0,4–0,1989 Tri Tournament
24,6 June 1990,"Lerkendal Stadion, Trondheim, Norway",Norway,2–0,2–1,Friendly
25,10 October 1990,"Københavns Idrætspark, Copenhagen, Denmark",Faroe Islands,1–0,4–1,UEFA Euro 1992 qualifying
26,10 October 1990,"Københavns Idrætspark, Copenhagen, Denmark",Faroe Islands,3–1,4–1,UEFA Euro 1992 qualifying
27,20 April 1994,"Parken Stadium, Copenhagen, Denmark",Hungary,1–1,3–1,Friendly
28,20 April 1994,"Parken Stadium, Copenhagen, Denmark",Hungary,2–1,3–1,Friendly
29,26 May 1994,"Parken Stadium, Copenhagen, Denmark",Sweden,1–0,1–0,Friendly
30,13 January 1995,"King Fahd II Stadium, Riyadh, Saudi Arabia",Argentina,1–0,2–0,1995 King Fahd Cup
31,7 June 1995,"Parken Stadium, Copenhagen, Denmark",Cyprus,4–0,4–0,UEFA Euro 1996 qualifying
32,16 August 1995,"Hrazdan Stadium, Yerevan, Armenia",Armenia,1–0,2–0,UEFA Euro 1996 qualifying
33,6 September 1995,"King Baudouin Stadium, Brussels, Belgium",Belgium,1–0,3–1,UEFA Euro 1996 qualifying
34,15 November 1995,"Parken Stadium, Copenhagen, Denmark",Armenia,3–1,3–1,UEFA Euro 1996 qualifying
35,24 April 1996,"Parken Stadium, Copenhagen, Denmark",Scotland,1–0,2–0,Friendly
36,10 September 1997,"Parken Stadium, Copenhagen, Denmark",Croatia,2–0,3–1,1998 FIFA World Cup qualification
37,24 June 1998,"Stade de Gerland, Lyon, France",France,1–1,1–2,1998 FIFA World Cup
