# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,State League Apps,State League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Fluminense,1963,Série A,6,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8,0
Fluminense,1964,Série A,9,1,7.0,3.0,9.0,0.0,5.0,0.0,1.0,0.0,31,4
Fluminense,1965,Série A,14,0,5.0,1.0,11.0,2.0,3.0,0.0,5.0,0.0,39,3
Fluminense,1966,Série A,17,2,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20,2
Fluminense,Total,Total,46,3,14.0,4.0,23.0,2.0,8.0,0.0,6.0,0.0,98,9
Santos,1966,Série A,15,1,7.0,0.0,5.0,1.0,7.0,3.0,14.0,0.0,48,5
Santos,1967,Série A,26,2,,,19.0,2.0,0.0,0.0,11.0,0.0,46,4
Santos,1968,Série A,26,2,,,28.0,0.0,5.0,0.0,0.0,0.0,59,2
Santos,1969,Série A,26,0,,,25.0,2.0,0.0,0.0,4.0,0.0,55,2
Santos,1970,Série A,26,5,,,21.0,0.0,0.0,0.0,2.0,0.0,49,5
Santos,1971,Série A,2,0,,,5.0,1.0,0.0,0.0,6.0,0.0,13,1
Santos,1972,Série A,20,2,,,31.0,4.0,0.0,0.0,7.0,0.0,58,6
Santos,1973,Série A,28,6,,,30.0,5.0,0.0,0.0,0.0,0.0,58,11
Santos,1974,Série A,27,1,,,29.0,3.0,0.0,0.0,3.0,0.0,59,4
Santos,Total,Total,196,19,7.0,0.0,193.0,18.0,12.0,3.0,47.0,0.0,445,40
Botafogo (loan),1971,Série A,12,0,6.0,0.0,4.0,,,,,,22,0
Fluminense,1974,Série A,11,1,,,,,,,,,11,1
Fluminense,1975,Série A,16,0,4.0,0.0,,,,,,,20,0
Fluminense,1976,Série A,17,3,2.0,0.0,,,,,,,19,3
Fluminense,Total,Total,44,4,6.0,0.0,,,,,,,50,4
Flamengo,1977,Série A,0,0,7.0,0.0,16.0,3.0,5.0,0.0,,,28,3
New York Cosmos,1977,NASL,4,0,,,,,,,,,4,0
New York Cosmos,1978,NASL,25,2,,,,,,,,,25,2
New York Cosmos,1979,NASL,28,2,,,,,,,,,28,2
New York Cosmos,1980,NASL,23,2,,,,,,,,,23,2
New York Cosmos,Total,Total,80,6,,,,,,,,,80,6
California Surf,1981,NASL,19,2,,,,,,,,,19,2
New York Cosmos,1982,NASL,20,0,,,,,,,,,20,2
Career total,Career total,Career total,417,34,40.0,4.0,236.0,23.0,25.0,3.0,53.0,0.0,762,64
