# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Cremonese,1980–81,Serie C1,2,0,0,0,–,–,–,–,–,–,2,0
Cremonese,1981–82,Serie B,31,5,1,0,–,–,–,–,–,–,32,5
Cremonese,1982–83,Serie B,35,8,2,0,–,–,–,–,–,–,37,8
Cremonese,1983–84,Serie B,37,10,5,2,–,–,–,–,–,–,42,12
Cremonese,Total,Total,105,23,8,2,–,–,–,–,–,–,113,25
Sampdoria,1984–85,Serie A,28,3,13,6,–,–,–,–,–,–,41,9
Sampdoria,1985–86,Serie A,28,6,7,2,–,–,4,0,–,–,39,8
Sampdoria,1986–87,Serie A,28,12,5,4,–,–,–,–,–,–,33,16
Sampdoria,1987–88,Serie A,30,10,13,3,–,–,–,–,–,–,43,13
Sampdoria,1988–89,Serie A,30,14,14,13,–,–,7,5,1,1,52,33
Sampdoria,1989–90,Serie A,22,10,2,2,–,–,8,7,1,0,33,19
Sampdoria,1990–91,Serie A,26,19,7,3,–,–,4,1,1,0,38,23
Sampdoria,1991–92,Serie A,31,11,6,3,–,–,11,6,1,0,49,20
Sampdoria,Total,Total,223,85,67,36,–,–,34,19,4,1,328,141
Juventus,1992–93,Serie A,32,6,7,2,–,–,10,5,–,–,49,13
Juventus,1993–94,Serie A,10,4,0,0,–,–,2,0,–,–,12,4
Juventus,1994–95,Serie A,30,17,7,3,–,–,9,2,–,–,46,22
Juventus,1995–96,Serie A,30,11,0,0,–,–,7,2,1,1,38,14
Juventus,Total,Total,102,38,14,5,–,–,28,9,1,1,145,53
Chelsea,1996–97,Premier League,28,9,5,2,1,0,–,–,–,–,34,11
Chelsea,1997–98,Premier League,21,11,1,2,3,0,8,6,1,0,34,19
Chelsea,1998–99,Premier League,9,1,3,2,3,6,5,1,0,0,20,10
Chelsea,Total,Total,58,21,9,6,7,6,13,7,1,0,88,40
Career total,Career total,Career total,488,167,98,49,7,6,75,35,6,2,674,259
