# List of international goals scored by Freddie Ljungberg
No.,Date,Venue,Cap,Opponent,Score,Result,Competition,Ref.
1,28 May 1998,"Malmö Stadion, Malmö, Sweden",3,Denmark,1–0,3–0,Friendly,
2,31 March 1999,"Stadion Śląski, Chorzów, Poland",8,Poland,1–0,1–0,UEFA Euro 2000 qualifying,
3,7 June 2003,"Stadio Serravalle, Serravalle, San Marino",37,San Marino,3–0,6–0,UEFA Euro 2004 qualifying,
4,14 June 2004,"Estádio José Alvalade, Lisbon, Portugal",41,Bulgaria,1–0,5–0,UEFA Euro 2004,
5,4 September 2004,"Ta' Qali National Stadium, Ta' Qali, Malta",46,Malta,4–0,7–0,2006 FIFA World Cup qualification,
6,4 September 2004,"Ta' Qali National Stadium, Ta' Qali, Malta",46,Malta,6–0,7–0,2006 FIFA World Cup qualification,
7,9 October 2004,"Råsunda Stadium, Stockholm, Sweden",48,Hungary,1–0,3–0,2006 FIFA World Cup qualification,
8,9 February 2005,"Stade de France, Paris, France",50,France,1–0,1–1,Friendly,
9,26 March 2005,"Vasil Levski National Stadium, Sofia, Bulgaria",51,Bulgaria,1–0,3–0,2006 FIFA World Cup qualification,
10,26 March 2005,"Vasil Levski National Stadium, Sofia, Bulgaria",51,Bulgaria,3–0,3–0,2006 FIFA World Cup qualification,
11,4 June 2005,"Ullevi, Gothenburg, Sweden",52,Malta,5–0,6–0,2006 FIFA World Cup qualification,
12,3 September 2005,"Råsunda Stadium, Stockholm, Sweden",53,Bulgaria,1–0,3–0,2006 FIFA World Cup qualification,
13,15 June 2006,"Olympiastadion, Berlin, Germany",59,Paraguay,1–0,1–0,2006 FIFA World Cup,
14,13 October 2007,"Rheinpark Stadion, Vaduz, Liechtenstein",68,Liechtenstein,1–0,3–0,UEFA Euro 2008 qualifying,
