# Table 2
No.,Date,Home team,Visiting team,Goals,Score,Result,Venue,Competition
1.0,16 May 1991,Finland,Malta,.mw-parser-output .fb-goal>span{} 87' 2–0,2–0,Win,Helsinki Olympic Stadium,UEFA Euro 1992 qualifying
2.0,25 March 1992,Scotland,Finland,41' 1–1,1–1,Draw,"Hampden Park, Glasgow",Friendly
3.0,13 October 1993,Sweden,Finland,60' 3–2,3–2,Loss,"Råsunda Stadium, Stockholm",1994 FIFA World Cup qualification
4.0,16 November 1994,Finland,Faroe Islands,53' 2–0  72' 3–0,5–0,Win,Helsinki Olympic Stadium,UEFA Euro 1996 qualifying
5.0,16 November 1994,Finland,Faroe Islands,53' 2–0  72' 3–0,5–0,Win,Helsinki Olympic Stadium,UEFA Euro 1996 qualifying
6.0,29 March 1995,San Marino,Finland,45' 0–1,0–2,Win,"Stadio Olimpico, Serravalle",UEFA Euro 1996 qualifying
7.0,11 June 1995,Finland,Greece,45+1' 1–1 (pen.),2–1,Win,Helsinki Olympic Stadium,UEFA Euro 1996 qualifying
8.0,2 June 1996,Finland,Turkey,25' 1–0,1–2,Loss,Helsinki Olympic Stadium,Friendly
9.0,2 February 1997,Turkey,Finland,17' 0–1,1–1,Draw,"Atatürk Stadium, Denizli",Friendly
10.0,2 April 1997,Azerbaijan,Finland,26 ' 0–1,1–2,Win,"Tofik Bakhramov Stadium, Baku",1998 FIFA World Cup qualification
11.0,8 June 1997,Finland,Azerbaijan,65' 2–0,3–0,Win,Helsinki Olympic Stadium,1998 FIFA World Cup qualification
12.0,6 September 1997,Switzerland,Finland,16' 0–1,1–2,Win,"Stade Olympique de la Pontaise, Lausanne",1998 FIFA World Cup qualification
13.0,14 October 1998,Turkey,Finland,90+6' 1–3,1–3,Win,"Ali Sami Yen Stadium, Istanbul",UEFA Euro 2000 qualifying
14.0,29 March 2000,Wales,Finland,21' 0–1,1–2,Win,"Millennium Stadium, Cardiff",Friendly
15.0,16 August 2000,Finland,Norway,24' 1–0  61' 2–1,3–1,Win,"Finnair Stadium, Helsinki",2000–01 Nordic Football Championship
16.0,16 August 2000,Finland,Norway,24' 1–0  61' 2–1,3–1,Win,"Finnair Stadium, Helsinki",2000–01 Nordic Football Championship
17.0,2 September 2000,Finland,Albania,45 ' 1–0,2–1,Win,"Finnair Stadium, Helsinki",2002 FIFA World Cup qualification
18.0,15 August 2001,Finland,Belgium,3–0 (pen.),4–1,Win,Helsinki Olympic Stadium,Friendly
19.0,5 September 2001,Finland,Greece,53' 5–1,5–1,Win,Helsinki Olympic Stadium,2002 FIFA World Cup qualification
20.0,27 March 2002,Portugal,Finland,41' 1–3  53' 1–4,1–4,Win,"Estádio do Bessa, Porto",Friendly
21.0,27 March 2002,Portugal,Finland,41' 1–3  53' 1–4,1–4,Win,"Estádio do Bessa, Porto",Friendly
22.0,30 April 2003,Finland,Iceland,55' 1–0 (pen.),3–0,Win,"Pohjola Stadion, Myyrmäki, Vantaa",Friendly
23.0,31 April 2004,Malta,Finland,86' 0–2,1–2,Win,"Ta' Qali National Stadium, Valletta",Friendly
24.0,28 May 2004,Finland,Sweden,8' 1–0 (pen.),1–3,Loss,"Ratina Stadion, Tampere",Friendly
25.0,26 March 2005,Czech Republic,Finland,46 ' 2–1,4–3,Loss,"Na Stinadlech, Teplice",2006 FIFA World Cup qualification
26.0,2 September 2006,Poland,Finland,54' 0–1  76' 0–2 (pen.),1–3,Win,"Zdzisław Krzyszkowiak, Bydgoszcz",UEFA Euro 2008 qualifying
27.0,2 September 2006,Poland,Finland,54' 0–1  76' 0–2 (pen.),1–3,Win,"Zdzisław Krzyszkowiak, Bydgoszcz",UEFA Euro 2008 qualifying
28.0,11 October 2006,Kazakhstan,Finland,29' 0–1,0–2,Win,"Almaty Central Stadium, Almaty",UEFA Euro 2008 qualifying
29.0,6 February 2008,Finland,Greece,66' 1–0,1–2,Loss,"Neo GSP Stadium, Nicosia",Friendly
30.0,26 March 2008,Bulgaria,Finland,22' 0–1 (pen.),2–1,Loss,"Vasil Levski National Stadium, Sofia",Friendly
31.0,9 September 2009,Liechtenstein,Finland,74' 0–1 (pen.),1–1,Draw,"Rheinpark Stadion, Vaduz",2010 FIFA World Cup qualification
32.0,17 November 2010,Finland,San Marino,71' 6–0 (pen.),8–0,Win,Helsinki Olympic Stadium,UEFA Euro 2012 qualifying
