# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Tottenham Hotspur,2010–11,Premier League,0,0,—,—,0,0,0,0,—,—,0,0
Tottenham Hotspur,2011–12,Premier League,0,0,—,—,0,0,6,1,—,—,6,1
Tottenham Hotspur,2012–13,Premier League,1,0,—,—,—,—,0,0,—,—,1,0
Tottenham Hotspur,2013–14,Premier League,10,3,0,0,2,1,7,0,—,—,19,4
Tottenham Hotspur,2014–15,Premier League,34,21,2,0,6,3,9,7,—,—,51,31
Tottenham Hotspur,2015–16,Premier League,38,25,4,1,1,0,7,2,—,—,50,28
Tottenham Hotspur,2016–17,Premier League,30,29,3,4,0,0,5,2,—,—,38,35
Tottenham Hotspur,2017–18,Premier League,37,30,4,4,0,0,7,7,—,—,48,41
Tottenham Hotspur,2018–19,Premier League,28,17,1,1,2,1,9,5,—,—,40,24
Tottenham Hotspur,2019–20,Premier League,29,18,0,0,0,0,5,6,—,—,34,24
Tottenham Hotspur,2020–21,Premier League,35,23,2,1,4,1,8,8,—,—,49,33
Tottenham Hotspur,2021–22,Premier League,37,17,3,3,5,1,5,6,—,—,50,27
Tottenham Hotspur,2022–23,Premier League,38,30,2,1,1,0,8,1,—,—,49,32
Tottenham Hotspur,Total,Total,317,213,21,15,21,7,76,45,—,—,435,280
Leyton Orient (loan),2010–11,League One,18,5,0,0,—,—,—,—,—,—,18,5
Millwall (loan),2011–12,Championship,22,7,5,2,—,—,—,—,—,—,27,9
Norwich City (loan),2012–13,Premier League,3,0,1,0,1,0,—,—,—,—,5,0
Leicester City (loan),2012–13,Championship,13,2,—,—,—,—,—,—,2,0,15,2
Bayern Munich,2023–24,Bundesliga,32,36,0,0,—,—,12,8,1,0,45,44
Bayern Munich,2024–25,Bundesliga,31,26,2,1,—,—,13,11,5,3,51,41
Bayern Munich,2025–26,Bundesliga,5,10,1,2,—,—,1,2,1,1,8,15
Bayern Munich,Total,Total,68,72,3,3,—,—,26,21,7,4,104,100
Career total,Career total,Career total,442,299,30,20,22,7,102,66,9,4,604,396
