# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
CSKA Sofia,1998–99,PFG,11,3,5,3,—,—,0,0,—,—,16,6
CSKA Sofia,1999–2000,PFG,27,14,4,2,—,—,3,0,—,—,34,16
CSKA Sofia,2000–01,PFG,12,9,0,0,—,—,4,7,—,—,16,16
CSKA Sofia,Total,Total,50,26,9,5,—,—,7,7,—,—,66,38
Bayer Leverkusen II,2000–01,Oberliga Nordrhein,7,6,—,—,—,—,—,—,—,—,7,6
Bayer Leverkusen,2000–01,Bundesliga,6,0,0,0,0,0,0,0,—,—,6,0
Bayer Leverkusen,2001–02,Bundesliga,24,8,6,6,0,0,11,2,—,—,41,16
Bayer Leverkusen,2002–03,Bundesliga,24,4,2,0,1,0,7,2,—,—,34,6
Bayer Leverkusen,2003–04,Bundesliga,33,16,3,3,0,0,—,—,—,—,36,19
Bayer Leverkusen,2004–05,Bundesliga,33,20,1,1,2,0,10,5,—,—,46,26
Bayer Leverkusen,2005–06,Bundesliga,34,21,2,3,0,0,2,0,—,—,38,24
Bayer Leverkusen,Total,Total,154,69,14,13,3,0,30,9,—,—,201,91
Tottenham Hotspur,2006–07,Premier League,33,12,5,3,3,1,8,7,—,—,49,23
Tottenham Hotspur,2007–08,Premier League,36,15,2,2,6,1,8,5,—,—,52,23
Tottenham Hotspur,2008–09,Premier League,1,0,0,0,0,0,0,0,—,—,1,0
Tottenham Hotspur,Total,Total,70,27,7,5,9,2,16,12,—,—,102,46
Manchester United,2008–09,Premier League,31,9,3,1,0,0,9,4,—,—,43,14
Manchester United,2009–10,Premier League,33,12,1,0,2,0,6,0,1,0,43,12
Manchester United,2010–11,Premier League,32,20,2,0,0,0,7,0,1,1,42,21
Manchester United,2011–12,Premier League,12,7,1,0,3,1,4,1,1,0,21,9
Manchester United,Total,Total,108,48,7,1,5,1,26,5,3,1,149,56
Fulham,2012–13,Premier League,33,15,2,0,0,0,—,—,—,—,35,15
Fulham,2013–14,Premier League,18,4,0,0,1,1,—,—,—,—,19,5
Fulham,Total,Total,51,19,2,0,1,1,—,—,—,—,54,20
Monaco,2013–14,Ligue 1,12,6,3,3,0,0,—,—,—,—,15,9
Monaco,2014–15,Ligue 1,26,7,1,0,2,1,9,1,—,—,38,9
Monaco,Total,Total,38,13,4,3,2,1,9,1,—,—,53,18
PAOK,2015–16,Super League Greece,17,4,3,1,—,—,5,0,—,—,25,5
Kerala Blasters,2017–18,Indian Super League,9,1,—,—,—,—,—,—,—,—,9,1
Career total,Career total,Career total,504,213,46,28,20,5,93,34,3,1,666,281
