# Appearances and goals by club, season and competition
Club!,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
Metz,1992–93,Division 1,2,0,1,0,0,0,2,0
Metz,1993–94,Division 1,24,1,5,0,0,0,28,1
Metz,1994–95,Division 1,34,8,2,1,0,0,36,9
Metz,1995–96,Division 1,38,11,7,2,0,0,45,13
Metz,1996–97,Division 1,32,11,3,1,6,0,41,12
Metz,1997–98,Division 1,31,11,6,2,3,0,41,13
Metz,Total,Total,161,42,23,6,9,0,195,47
Marseille,1998–99,Division 1,34,6,2,0,11,3,49,9
Marseille,1999–2000,Division 1,32,2,3,1,11,2,46,5
Marseille,Total,Total,66,8,5,1,22,5,95,14
Arsenal,2000–01,Premier League,33,4,6,3,12,1,51,8
Arsenal,2001–02,Premier League,28,9,5,1,12,3,47,13
Arsenal,2002–03,Premier League,26,14,7,2,9,0,42,16
Arsenal,2003–04,Premier League,36,14,5,1,10,4,51,19
Arsenal,2004–05,Premier League,33,14,6,2,8,1,48,17
Arsenal,2005–06,Premier League,33,7,3,2,12,2,48,11
Arsenal,Total,Total,189,62,33,12,63,11,284,84
Villarreal,2006–07,La Liga,11,3,0,0,2,0,13,3
Villarreal,2007–08,La Liga,34,3,5,1,2,0,41,4
Villarreal,2008–09,La Liga,32,3,0,0,8,1,40,4
Villarreal,2009–10,La Liga,28,4,2,1,7,2,37,7
Villarreal,Total,Total,105,13,7,2,19,3,131,18
Aston Villa,2010–11,Premier League,9,0,3,1,0,0,12,1
Goa,2014,Indian Super League,8,1,0,0,0,0,8,1
Career total,Career total,Career total,538,126,69,20,113,19,720,165
