# List of international goals scored by John Arne Riise
No.,Date,Venue,Opponent,Score,Result,Competition
1,23 February 2000,"Ali Sami Yen Stadium, Istanbul, Turkey",Turkey,1–0,2–0,Friendly
2,7 September 2002,"Ullevaal Stadion, Oslo, Norway",Denmark,1–1,2–2,UEFA Euro 2004 qualification
3,16 October 2002,"Ullevaal Stadion, Oslo, Norway",Bosnia and Herzegovina,2–0,2–0,UEFA Euro 2004 qualification
4,9 February 2005,"Ta'Qali Stadium, Ta' Qali, Malte",Malta,3–0,3–0,Friendly
5,8 June 2005,"Råsunda Stadium, Stockholm, Sweden",Sweden,1–1,3–2,Friendly
6,2 June 2007,"Ullevaal Stadion, Oslo, Norway",Malta,4–0,4–0,UEFA Euro 2008 qualification
7,12 September 2007,"Ullevaal Stadion, Oslo, Norway",Greece,2–2,2–2,UEFA Euro 2008 qualification
8,28 May 2008,"Ullevaal Stadion, Oslo, Norway",Uruguay,2–2,2–2,Friendly
9,1 April 2009,"Ullevaal Stadion, Oslo, Norway",Finland,1–1,3–2,Friendly
10,12 August 2009,"Ullevaal Stadion, Oslo, Norway",Scotland,1–0,4–0,FIFA World Cup 2010 qualification
11,5 September 2009,"Laugardalsvöllur, Reykjavík, Iceland",Iceland,1–0,1–1,FIFA World Cup 2010 qualification
12,9 September 2009,"Ullevaal Stadion, Oslo, Norway",Macedonia,1–0,2–1,FIFA World Cup 2010 qualification
13,8 October 2010,"Antonis Papadopoulos Stadium, Larnaca, Cyprus",Cyprus,1–0,2–1,UEFA Euro 2012 qualification
14,10 August 2011,"Ullevaal Stadion, Oslo, Norway",Czech Republic,2–0,3–0,Friendly
15,15 August 2012,"Ullevaal Stadion, Oslo, Norway",Greece,2–3,2–3,Friendly
16,11 September 2012,"Ullevaal Stadion, Oslo, Norway",Slovenia,2–1,2–1,FIFA World Cup 2014 qualification
