# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,FA Cup Apps,FA Cup Goals,Total Apps,Total Goals
Stoke City,1931–32,Second Division,2,0,0,0,2,0
Stoke City,1932–33,Second Division,15,1,0,0,15,1
Stoke City,1933–34,First Division,29,11,4,4,33,15
Stoke City,1934–35,First Division,36,10,1,1,37,11
Stoke City,1935–36,First Division,40,10,5,0,45,10
Stoke City,1936–37,First Division,40,7,2,0,42,7
Stoke City,1937–38,First Division,38,6,3,0,41,6
Stoke City,1938–39,First Division,36,2,2,0,38,2
Stoke City,1939–40,First Division,3,0,—,—,3,0
Stoke City,1945–46,Football League North,—,—,8,0,8,0
Stoke City,1946–47,First Division,23,4,5,1,28,5
Stoke City,Total,Total,259,51,30,6,289,57
Blackpool,1947–48,First Division,33,1,6,0,39,1
Blackpool,1948–49,First Division,25,3,3,0,28,3
Blackpool,1949–50,First Division,31,0,3,0,34,0
Blackpool,1950–51,First Division,36,0,8,0,44,0
Blackpool,1951–52,First Division,18,1,1,0,19,1
Blackpool,1952–53,First Division,20,4,7,1,27,5
Blackpool,1953–54,First Division,30,2,7,0,37,2
Blackpool,1954–55,First Division,34,1,1,0,35,1
Blackpool,1955–56,First Division,36,3,1,0,37,3
Blackpool,1956–57,First Division,25,2,4,0,29,2
Blackpool,1957–58,First Division,28,0,1,0,29,0
Blackpool,1958–59,First Division,19,0,6,0,25,0
Blackpool,1959–60,First Division,15,0,0,0,15,0
Blackpool,1960–61,First Division,27,0,1,0,28,0
Blackpool,1961–62,First Division,2,0,—,—,2,0
Blackpool,Total,Total,379,17,49,1,428,18
Stoke City,1961–62,Second Division,18,2,3,1,21,3
Stoke City,1962–63,Second Division,31,1,0,0,31,1
Stoke City,1963–64,First Division,9,0,4,1,13,1
Stoke City,1964–65,First Division,1,0,0,0,1,0
Stoke City,Total,Total,59,3,7,2,66,5
Toronto City (loan),1961,Eastern Canada Professional Soccer League,14,0,—,—,14,0
Toronto City (loan),1965,Eastern Canada Professional Soccer League,6,0,—,—,6,0
Toronto City (loan),Total,Total,20,0,0,0,20,0
Career total,Career total,Career total,717,71,86,9,803,80
