# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Inter Milan (loan),2005–06,Serie A,1,0,0,0,0,0,0,0,1,0
Inter Milan,2006–07,Serie A,0,0,3,0,0,0,0,0,3,0
Inter Milan,Total,Total,1,0,3,0,0,0,0,0,4,0
Treviso (loan),2007–08,Serie B,27,2,0,0,—,—,—,—,27,2
Treviso (loan),2008–09,Serie B,13,2,1,0,—,—,—,—,14,2
Treviso (loan),Total,Total,40,4,1,0,0,0,0,0,41,4
Pisa (loan),2008–09,Serie B,18,1,0,0,—,—,—,—,18,1
Bari,2009–10,Serie A,38,1,1,0,—,—,—,—,39,1
Juventus,2010–11,Serie A,34,2,2,0,8,1,—,—,44,3
Juventus,2011–12,Serie A,32,2,5,0,—,—,—,—,37,2
Juventus,2012–13,Serie A,33,0,4,0,10,1,1,0,48,1
Juventus,2013–14,Serie A,29,2,1,0,13,1,1,0,44,3
Juventus,2014–15,Serie A,34,3,4,1,13,0,1,0,52,4
Juventus,2015–16,Serie A,36,3,4,0,8,0,1,0,49,3
Juventus,2016–17,Serie A,29,3,5,1,11,1,0,0,45,5
Juventus,Total,Total,227,15,25,2,63,4,4,0,319,21
AC Milan,2017–18,Serie A,35,2,5,0,11,0,—,—,51,2
Juventus,2018–19,Serie A,29,3,1,0,10,0,1,0,41,3
Juventus,2019–20,Serie A,35,3,4,1,7,0,1,0,47,4
Juventus,2020–21,Serie A,26,2,2,0,6,0,1,0,35,2
Juventus,2021–22,Serie A,24,5,3,0,7,0,0,0,34,5
Juventus,2022–23,Serie A,16,1,1,0,9,1,—,—,26,2
Juventus,Total,Total,130,14,11,1,39,1,3,0,183,16
Union Berlin,2023–24,Bundesliga,7,1,0,0,3,0,—,—,10,1
Fenerbahçe,2023–24,Süper Lig,8,0,3,0,2,0,0,0,13,0
Career total,Career total,Career total,504,38,49,3,118,5,7,0,678,46
