# Table 3
No.,Date,Venue,Opponent,Score,Result,Competition
1,1 October 1997,"Stade El Menzah, Tunis, Tunisia",Tunisia,0–2,0–3,Friendly
2,12 December 1997,"King Fahd Stadium, Riyadh, Saudi Arabia",Mexico,1–0,3–1,1997 FIFA Confederations Cup
3,19 August 2003,"Lansdowne Road, Dublin, Ireland",Republic of Ireland,0–1,2–1,Friendly
4,3 September 2005,"Sydney Football Stadium, Sydney, Australia",Solomon Islands,2–0,7–0,2006 FIFA World Cup qualification
5,3 September 2005,"Sydney Football Stadium, Sydney, Australia",Solomon Islands,3–0,7–0,2006 FIFA World Cup qualification
6,9 October 2005,"Craven Cottage, London, England",Jamaica,3–0,5–0,Friendly
7,30 June 2007,"National Stadium, Singapore City, Singapore",Singapore,0–1,0–3,Friendly
8,30 June 2007,"National Stadium, Singapore City, Singapore",Singapore,0–3,0–3,Friendly
9,13 July 2007,"Rajamangala National Stadium, Bangkok, Thailand",Iraq,1–1,1–3,2007 AFC Asian Cup
10,21 July 2007,"Rajamangala National Stadium, Bangkok, Thailand",Thailand,0–2,0–4,2007 AFC Asian Cup
11,21 July 2007,"Rajamangala National Stadium, Bangkok, Thailand",Thailand,0–3,0–4,2007 AFC Asian Cup
