# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,FA Cup Apps,FA Cup Goals,Other Apps,Other Goals,Total Apps,Total Goals
St Patrick's Athletic,1981–82,League of Ireland,26,4,3,0,3,1,32,5
Manchester United,1982–83,First Division,14,3,1,0,1,0,16,3
Manchester United,1983–84,First Division,9,1,0,0,3,0,12,1
Manchester United,1984–85,First Division,23,0,7,2,2,0,32,2
Manchester United,1985–86,First Division,40,3,4,0,9,1,53,4
Manchester United,1986–87,First Division,35,2,1,0,4,0,40,2
Manchester United,1987–88,First Division,22,2,0,0,2,1,24,3
Manchester United,1988–89,First Division,20,1,5,0,1,0,26,1
Manchester United,Total,Total,163,12,18,2,22,2,203,16
Aston Villa,1989–90,First Division,35,1,5,0,7,0,47,1
Aston Villa,1990–91,First Division,35,0,2,0,7,0,44,0
Aston Villa,1991–92,First Division,41,1,5,0,2,0,48,1
Aston Villa,1992–93,Premier League,42,4,4,0,4,1,50,5
Aston Villa,1993–94,Premier League,30,1,2,0,12,0,44,1
Aston Villa,1994–95,Premier League,40,0,2,0,7,0,49,0
Aston Villa,1995–96,Premier League,30,2,4,0,6,0,40,2
Aston Villa,1996–97,Premier League,0,0,0,0,1,0,1,0
Aston Villa,Total,Total,253,9,24,0,46,1,323,10
Derby County,1996–97,Premier League,24,0,2,0,0,0,26,0
Sheffield United,1997–98,First Division,12,0,0,0,2,0,14,0
Career total,Career total,Career total,478,25,47,2,73,4,598,31
