# List of international goals scored by David Alaba
No.,Date,Venue,Opponent,Score,Result,Competition
1,16 October 2012,"Ernst-Happel-Stadion, Vienna, Austria",Kazakhstan,3–0,4–0,2014 FIFA World Cup qualification
2,22 March 2013,"Ernst-Happel-Stadion, Vienna, Austria",Faroe Islands,5–0,6–0,2014 FIFA World Cup qualification
3,26 March 2013,"Aviva Stadium, Dublin, Ireland",Republic of Ireland,2–2,2–2,2014 FIFA World Cup qualification
4,7 June 2013,"Ernst-Happel-Stadion, Vienna, Austria",Sweden,1–0,2–1,2014 FIFA World Cup qualification
5,10 September 2013,"Ernst-Happel-Stadion, Vienna, Austria",Republic of Ireland,1–0,1–0,2014 FIFA World Cup qualification
6,15 October 2013,"Tórsvøllur, Tórshavn, Faroe Islands",Faroe Islands,3–0,3–0,2014 FIFA World Cup qualification
7,8 September 2014,"Ernst-Happel-Stadion, Vienna, Austria",Sweden,1–0,1–1,UEFA Euro 2016 qualification
8,9 October 2014,"Zimbru Stadium, Chișinău, Moldova",Moldova,1–0,2–1,UEFA Euro 2016 qualification
9,27 March 2015,"Rheinpark Stadion, Vaduz, Liechtenstein",Liechtenstein,3–0,5–0,UEFA Euro 2016 qualification
10,8 September 2015,"Friends Arena, Solna, Sweden",Sweden,1–0,4–1,UEFA Euro 2016 qualification
11,17 November 2015,"Ernst-Happel-Stadion, Vienna, Austria",Switzerland,1–1,1–2,Friendly
12,23 March 2018,"Wörthersee Stadion, Klagenfurt, Austria",Slovenia,1–0,3–0,Friendly
13,6 September 2018,"Generali Arena, Vienna, Austria",Sweden,2–0,2–0,Friendly
14,16 November 2019,"Ernst-Happel-Stadion, Vienna, Austria",North Macedonia,1–0,2–1,UEFA Euro 2020 qualification
15,20 November 2022,"Ernst-Happel-Stadion, Vienna, Austria",Italy,2–0,2–0,Friendly
