# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Sporting CP,1989–90,Primeira Divisão,3,0,—,—,—,—,—,—,3,0
Sporting CP,1990–91,Primeira Divisão,0,0,—,—,—,—,—,—,0,0
Sporting CP,1991–92,Primeira Divisão,34,1,2,0,2,0,—,—,38,1
Sporting CP,1992–93,Primeira Divisão,32,0,5,0,2,0,—,—,39,0
Sporting CP,1993–94,Primeira Divisão,31,8,6,3,5,0,—,—,42,11
Sporting CP,1994–95,Primeira Divisão,29,7,5,4,2,0,—,—,36,11
Sporting CP,Total,Total,129,16,18,7,11,0,—,—,158,23
Barcelona,1995–96,La Liga,35,5,7,0,10,3,—,—,52,8
Barcelona,1996–97,La Liga,36,4,5,3,8,1,1,0,50,8
Barcelona,1997–98,La Liga,35,5,6,1,7,1,3,0,51,7
Barcelona,1998–99,La Liga,34,7,4,0,6,1,1,0,45,8
Barcelona,1999–2000,La Liga,32,9,4,0,13,5,2,0,51,14
Barcelona,Total,Total,172,30,26,4,44,11,7,0,249,45
Real Madrid,2000–01,La Liga,34,9,0,0,14,5,2,0,50,14
Real Madrid,2001–02,La Liga,28,7,6,1,11,3,2,0,47,11
Real Madrid,2002–03,La Liga,33,10,1,0,15,2,2,0,51,12
Real Madrid,2003–04,La Liga,36,9,6,2,10,2,2,1,54,14
Real Madrid,2004–05,La Liga,33,3,0,0,10,4,—,—,43,7
Real Madrid,Total,Total,164,38,13,3,60,16,8,1,245,58
Inter Milan,2005–06,Serie A,34,5,3,0,8,1,—,—,45,6
Inter Milan,2006–07,Serie A,32,2,7,0,7,0,1,1,47,3
Inter Milan,2007–08,Serie A,17,1,1,0,3,0,1,0,22,1
Inter Milan,2008–09,Serie A,22,1,0,0,3,0,1,0,26,1
Inter Milan,Total,Total,105,9,11,0,21,1,3,1,140,11
Career total,Career total,Career total,570,93,68,14,136,28,18,2,792,137
