# List of international goals scored by Son Heung-min
No.,Date,Venue,Cap,Opponent,Score,Result,Competition,Ref.
1,18 January 2011,"Thani bin Jassim Stadium, Al Rayyan, Qatar",3,India,4–1,4–1,2011 AFC Asian Cup,
2,26 March 2013,"Seoul World Cup Stadium, Seoul, South Korea",13,Qatar,2–1,2–1,2014 FIFA World Cup qualification,
3,6 September 2013,"Incheon Football Stadium, Incheon, South Korea",17,Haiti,1–0,4–1,Friendly,
4,6 September 2013,"Incheon Football Stadium, Incheon, South Korea",17,Haiti,4–1,4–1,Friendly,
5,15 October 2013,"Cheonan Stadium, Cheonan, South Korea",20,Mali,2–1,3–1,Friendly,
6,5 March 2014,"Karaiskakis Stadium, Piraeus, Greece",23,Greece,2–0,2–0,Friendly,
7,22 June 2014,"Estádio Beira-Rio, Porto Alegre, Brazil",27,Algeria,1–3,2–4,2014 FIFA World Cup,
8,22 January 2015,"Melbourne Rectangular Stadium, Melbourne, Australia",37,Uzbekistan,1–0,2–0 (a.e.t.),2015 AFC Asian Cup,
9,22 January 2015,"Melbourne Rectangular Stadium, Melbourne, Australia",37,Uzbekistan,2–0,2–0 (a.e.t.),2015 AFC Asian Cup,
10,31 January 2015,"ANZ Stadium, Sydney, Australia",39,Australia,1–1,1–2 (a.e.t.),2015 AFC Asian Cup,
11,16 June 2015,"Rajamangala Stadium, Bangkok, Thailand",43,Myanmar,2–0,2–0,2018 FIFA World Cup qualification,
12,3 September 2015,"Hwaseong Stadium, Hwaseong, South Korea",44,Laos,2–0,8–0,2018 FIFA World Cup qualification,
13,3 September 2015,"Hwaseong Stadium, Hwaseong, South Korea",44,Laos,5–0,8–0,2018 FIFA World Cup qualification,
14,3 September 2015,"Hwaseong Stadium, Hwaseong, South Korea",44,Laos,7–0,8–0,2018 FIFA World Cup qualification,
15,17 November 2015,"New Laos National Stadium, Vientiane, Laos",46,Laos,3–0,5–0,2018 FIFA World Cup qualification,
16,17 November 2015,"New Laos National Stadium, Vientiane, Laos",46,Laos,5–0,5–0,2018 FIFA World Cup qualification,
17,6 October 2016,"Suwon World Cup Stadium, Suwon, South Korea",50,Qatar,3–2,3–2,2018 FIFA World Cup qualification,
18,10 October 2017,"Tissot Arena, Biel/Bienne, Switzerland",59,Morocco,1–3,1–3,Friendly,
19,10 November 2017,"Suwon World Cup Stadium, Suwon, South Korea",60,Colombia,1–0,2–1,Friendly,
20,10 November 2017,"Suwon World Cup Stadium, Suwon, South Korea",60,Colombia,2–0,2–1,Friendly,
21,28 May 2018,"Daegu Stadium, Daegu, South Korea",64,Honduras,1–0,2–0,Friendly,
22,23 June 2018,"Rostov Arena, Rostov-on-Don, Russia",69,Mexico,1–2,1–2,2018 FIFA World Cup,
23,27 June 2018,"Kazan Arena, Kazan, Russia",70,Germany,2–0,2–0,2018 FIFA World Cup,
24,26 March 2019,"Seoul World Cup Stadium, Seoul, South Korea",79,Colombia,1–0,2–1,Friendly,
25,10 October 2019,"Hwaseong Stadium, Hwaseong, South Korea",84,Sri Lanka,1–0,8–0,2022 FIFA World Cup qualification,
26,10 October 2019,"Hwaseong Stadium, Hwaseong, South Korea",84,Sri Lanka,5–0,8–0,2022 FIFA World Cup qualification,
27,13 June 2021,"Goyang Stadium, Goyang, South Korea",91,Lebanon,2–1,2–1,2022 FIFA World Cup qualification,
