# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Huddersfield Town,1956–57,Second Division,13,2,5,1,–,–,–,–,–,–,18,3
Huddersfield Town,1957–58,Second Division,18,5,2,1,–,–,–,–,–,–,20,6
Huddersfield Town,1958–59,Second Division,26,2,0,0,–,–,–,–,–,–,26,2
Huddersfield Town,1959–60,Second Division,24,7,3,1,–,–,–,–,–,–,27,8
Huddersfield Town,Total,Total,81,16,10,3,–,–,–,–,–,–,91,19
Manchester City,1959–60,First Division,7,2,0,0,–,–,–,–,–,–,7,2
Manchester City,1960–61,First Division,37,19,6,4,0,0,–,–,–,–,43,23
Manchester City,Total,Total,44,21,6,4,0,0,–,–,–,–,50,25
Torino,1961–62,Serie A,27,10,1,0,–,–,–,–,–,–,28,10
Manchester United,1962–63,First Division,38,23,6,6,–,–,–,–,–,–,44,29
Manchester United,1963–64,First Division,30,30,6,10,–,–,5,6,1,0,42,46
Manchester United,1964–65,First Division,36,28,6,3,–,–,10,8,–,–,52,39
Manchester United,1965–66,First Division,33,15,7,6,–,–,8,3,1,0,49,24
Manchester United,1966–67,First Division,36,23,2,2,0,0,–,–,–,–,38,25
Manchester United,1967–68,First Division,23,7,1,0,–,–,3,2,1,1,28,10
Manchester United,1968–69,First Division,30,14,6,7,–,–,7,9,2,0,45,30
Manchester United,1969–70,First Division,11,2,2,0,3,1,–,–,–,–,16,3
Manchester United,1970–71,First Division,28,15,2,0,4,1,–,–,–,–,34,16
Manchester United,1971–72,First Division,33,13,7,0,2,0,–,–,–,–,42,13
Manchester United,1972–73,First Division,11,1,1,0,2,1,–,–,–,–,14,2
Manchester United,Total,Total,309,171,46,34,11,3,33,28,5,1,404,237
Manchester City,1973–74,First Division,24,9,1,2,4,1,–,–,–,–,29,12
Career total,Career total,Career total,485,227,64,43,15,4,33,28,5,1,602,303
