# Table 1
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Kispest/Budapesti Honvéd SE,1943–44,Nemzeti Bajnokság I,18,7,—,—,—,—,—,—,18,7
Kispest/Budapesti Honvéd SE,1944–45,Nemzeti Bajnokság I,2,1,—,—,—,—,—,—,2,1
Kispest/Budapesti Honvéd SE,1944,Nemzeti Bajnokság I,11,6,—,—,—,—,—,—,11,6
Kispest/Budapesti Honvéd SE,1945,Nemzeti Bajnokság I,20,10,—,—,—,—,—,—,20,10
Kispest/Budapesti Honvéd SE,1945–46,Nemzeti Bajnokság I,34,36,—,—,—,—,—,—,34,36
Kispest/Budapesti Honvéd SE,1946–47,Nemzeti Bajnokság I,29,32,—,—,—,—,—,—,29,32
Kispest/Budapesti Honvéd SE,1947–48,Nemzeti Bajnokság I,31,50,—,—,—,—,—,—,31,50
Kispest/Budapesti Honvéd SE,1948–49,Nemzeti Bajnokság I,28,46,—,—,—,—,—,—,28,46
Kispest/Budapesti Honvéd SE,1949–50,Nemzeti Bajnokság I,30,31,—,—,—,—,—,—,30,31
Kispest/Budapesti Honvéd SE,1950,Nemzeti Bajnokság I,15,25,—,—,—,—,—,—,15,25
Kispest/Budapesti Honvéd SE,1951,Nemzeti Bajnokság I,21,21,2,4,—,—,—,—,23,25
Kispest/Budapesti Honvéd SE,1952,Nemzeti Bajnokság I,26,22,—,—,—,—,—,—,26,22
Kispest/Budapesti Honvéd SE,1953,Nemzeti Bajnokság I,26,27,3,12,—,—,—,—,29,39
Kispest/Budapesti Honvéd SE,1954,Nemzeti Bajnokság I,20,21,—,—,—,—,—,—,20,21
Kispest/Budapesti Honvéd SE,1955,Nemzeti Bajnokság I,26,18,6,4,4,3,—,—,36,25
Kispest/Budapesti Honvéd SE,1956,Nemzeti Bajnokság I,13,5,—,—,2,1,—,—,15,6
Kispest/Budapesti Honvéd SE,Total,Total,350,358,11,20,6,4,—,—,367,382
Real Madrid,1958–59,La Liga,24,21,5,2,5,2,—,—,34,25
Real Madrid,1959–60,La Liga,24,25,5,10,7,12,—,—,36,47
Real Madrid,1960–61,La Liga,28,28,9,14,2,0,2,2,41,44
Real Madrid,1961–62,La Liga,23,20,8,13,9,7,—,—,40,40
Real Madrid,1962–63,La Liga,30,26,7,5,2,0,—,—,39,31
Real Madrid,1963–64,La Liga,25,21,0,0,8,7,—,—,33,28
Real Madrid,1964–65,La Liga,18,11,4,4,3,2,—,—,25,17
Real Madrid,1965–66,La Liga,8,4,3,1,3,5,—,—,14,10
Real Madrid,Total,Total,180,156,41,49,39,35,2,2,262,242
Career total,Career total,Career total,530,514,52,69,45,39,2,2,629,624
