# List of international goals scored by Antonín Panenka
No.,Date,Venue,Opponent,Score,Result,Competition,Ref.
1,27 April 1974,"Stadion Letná, Prague, Czechoslovakia",France,3–3,3–3,Friendly,
2,20 April 1975,"Stadion Letná, Prague, Czechoslovakia",Cyprus,1–0,4–0,UEFA Euro 1976 qualification,
3,20 April 1975,"Stadion Letná, Prague, Czechoslovakia",Cyprus,2–0,4–0,UEFA Euro 1976 qualification,
4,20 April 1975,"Stadion Letná, Prague, Czechoslovakia",Cyprus,3–0,4–0,UEFA Euro 1976 qualification,
5,24 April 1976,"Tehelné pole, Bratislava, Czechoslovakia",Soviet Union,2–0,2–0,UEFA Euro 1976,
6,22 September 1976,"Stadionul August 23, Bucharest,",Romania,1–0,1–1,Friendly,
7,6 October 1976,"Stadion Letná, Prague, Czechoslovakia",Romania,1–1,3–2,Friendly,
8,13 October 1976,"Stadion Letná, Prague, Czechoslovakia",Scotland,1–0,2-0,1978 FIFA World Cup qualification,
9,23 March 1977,"Stadion Letná, Prague, Czechoslovakia",Greece,1–0,4–0,Friendly,
10,8 November 1978,"Tehelné pole, Bratislava, Czechoslovakia",Italy,1–0,3–0,Friendly,
11,4 April 1979,"Tehelné pole, Bratislava, Czechoslovakia",France,1–0,2–0,UEFA Euro 1980 qualification,
12,12 September 1979,"Sóstói Stadion, Székesfehérvár, Hungary",Hungary,1–2,1–2,Friendly,
13,24 November 1979,"Great Strahov Stadium, Prague, Czechoslovakia",Luxembourg,1–0,4–0,UEFA Euro 1980 qualification,
14,14 June 1980,"Stadio Olimpico, Rome, Italy",Greece,1–0,3–1,UEFA Euro 1980,
15,27 May 1981,"Tehelné pole, Bratislava, Czechoslovakia",Iceland,2–0,6–1,1982 FIFA World Cup qualification,
16,17 June 1982,"Estadio José Zorrilla, Valladolid, Spain",Kuwait,1–0,1–1,1982 FIFA World Cup,
17,24 June 1982,"Estadio José Zorrilla, Valladolid, Spain",France,1–1,1–1,1982 FIFA World Cup,
