# List of international goals scored by Sócrates
No.,Date,Venue,Opponent,Score,Result,Competition,Ref.
1,31 May 1979,"Maracanã Stadium, Rio de Janeiro, Brazil",Uruguay,–,5–1,Friendly,
2,31 May 1979,"Maracanã Stadium, Rio de Janeiro, Brazil",Uruguay,–,5–1,Friendly,
3,23 August 1979,"Estadio Monumental, Buenos Aires, Argentina",Argentina,1–0,2–2,1979 Copa América,
4,23 August 1979,"Estadio Monumental, Buenos Aires, Argentina",Argentina,2–1,2–2,1979 Copa América,
5,31 October 1979,"Maracanã Stadium, Rio de Janeiro, Brazil",Paraguay,2–1,2–2,1979 Copa América,
6,30 October 1980,"Estádio Serra Dourada, Goiânia, Brazil",Paraguay,–,6–0,Friendly,
7,21 December 1980,"Verdão, Cuiabá, Brazil",Switzerland,1–0,2–0,Friendly,
8,10 January 1981,"Estadio Centenario, Montevideo, Uruguay",Uruguay,1–1,1–2,1980 World Champions' Gold Cup,
9,14 February 1981,"Quito, Ecuador",Ecuador,–,6–0,Friendly,
10,14 February 1981,"Quito, Ecuador",Ecuador,–,6–0,Friendly,
11,22 February 1981,"Estadio Hernando Siles, La Paz, Bolivia",Bolivia,1–0,2–1,1982 FIFA World Cup qualification,
12,29 March 1981,"Estádio Serra Dourada, Goiânia, Brazil",Venezuela,2–0,5–0,1982 FIFA World Cup qualification,
13,15 May 1981,"Parc des Princes, Paris, France",France,3–0,3–1,Friendly,
14,27 May 1982,"Parque do Sabiá, Uberlândia, Brazil",Republic of Ireland,2–0,7–0,Friendly,
15,27 May 1982,"Parque do Sabiá, Uberlândia, Brazil",Republic of Ireland,5–0,7–0,Friendly,
16,14 June 1982,"Ramón Sánchez Pizjuán Stadium, Seville, Spain",Soviet Union,1–1,2–1,1982 FIFA World Cup,
17,5 July 1982,"Sarrià Stadium, Barcelona, Spain",Italy,1–1,2–3,1982 FIFA World Cup,
18,8 June 1983,"Estádio Cidade de Coimbra, Coimbra, Portugal",Portugal,3–0,4–0,Friendly,
19,17 June 1983,"St. Jakob-Park, Basel, Switzerland",Switzerland,1–1,2–1,Friendly,
20,23 June 1985,"Maracanã Stadium, Rio de Janeiro, Brazil",Paraguay,1–0,1–1,1986 FIFA World Cup qualification,
21,1 June 1986,"Estadio Jalisco, Guadalajara, Mexico",Spain,1–0,1–0,1986 FIFA World Cup,
22,16 June 1986,"Estadio Jalisco, Guadalajara, Mexico",Poland,1–0,4–0,1986 FIFA World Cup,
