# Appearances and goals by club, season and competition
Season,Club,League,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Montevideo Wanderers,1980,Uruguayan Primera División,26,3,—,—,—,—,—,—,—,—,26,3
Montevideo Wanderers,1981,Uruguayan Primera División,22,7,—,—,—,—,—,—,—,—,22,7
Montevideo Wanderers,1982,Uruguayan Primera División,26,10,—,—,—,—,—,—,—,—,26,10
Montevideo Wanderers,Total,Total,74,20,0,0,0,0,0,0,0,0,74,20
River Plate,1983,Argentine Primera División,27,11,—,—,—,—,—,—,—,—,27,11
River Plate,1984,Argentine Primera División,49,29,—,—,—,—,—,—,—,—,49,29
River Plate,1985,Argentine Primera División,5,3,—,—,—,—,—,—,—,—,5,3
River Plate,1985–86,Argentine Primera División,32,25,—,—,—,—,—,—,—,—,32,25
River Plate,Total,Total,113,68,0,0,0,0,0,0,0,0,113,68
RC Paris,1986–87,French Division 1,35,14,1,0,—,—,—,—,—,—,36,14
RC Paris,1987–88,French Division 1,28,8,1,0,—,—,—,—,—,—,29,8
RC Paris,1988–89,French Division 1,26,10,2,0,—,—,—,—,—,—,28,10
RC Paris,Total,Total,89,32,4,0,0,0,0,0,0,0,93,32
Marseille,1989–90,French Division 1,28,11,4,0,—,—,8,0,—,—,40,11
Cagliari,1990–91,Serie A,33,4,,,—,—,—,—,—,—,33,4
Cagliari,1991–92,Serie A,33,6,1,0,—,—,—,—,—,—,34,6
Cagliari,1992–93,Serie A,32,7,,,—,—,—,—,—,—,32,7
Cagliari,Total,Total,98,17,1,0,0,0,0,0,0,0,99,17
Torino,1993–94,Serie A,24,3,6,2,—,—,3,0,1,0,34,5
River Plate,1994–95,Argentine Primera División,27,17,—,—,—,—,11,6,—,—,38,23
River Plate,1995–96,Argentine Primera División,20,10,—,—,—,—,19,13,—,—,39,23
River Plate,1996–97,Argentine Primera División,31,19,—,—,—,—,2,1,1,0,34,20
River Plate,1997–98,Argentine Primera División,6,1,—,—,—,—,4,0,—,—,10,1
River Plate,Total,Total,84,47,0,0,0,0,36,20,1,0,120,67
Career total,Career total,Career total,510,198,15,2,0,0,47,20,2,0,574,220
