# List of international goals scored by Iván Zamorano
No.,Date,Venue,Opponent,Score,Result,Competition
1,19 June 1987,"Estadio Nacional, Lima, Peru",Peru,3–1,3–1,Friendly
2,6 August 1989,"Brígido Iriarte Stadium, Caracas, Venezuela",Venezuela,3–1,3–1,1990 World Cup qualification
3,30 June 1991,"Estadio Nacional de Chile, Santiago, Chile",Ecuador,2–0,3–1,Friendly
4,6 July 1991,"Estadio Nacional de Chile, Santiago, Chile",Venezuela,2–0,2–0,1991 Copa América
5,8 July 1991,"Estadio Municipal de Concepción, Concepción, Chile",Peru,3–1,4–2,1991 Copa América
6,8 July 1991,"Estadio Municipal de Concepción, Concepción, Chile",Peru,3–2,4–2,1991 Copa América
7,14 July 1991,"Estadio Nacional de Chile, Santiago, Chile",Paraguay,2–0,4–0,1991 Copa América
8,17 July 1991,"Estadio Nacional de Chile, Santiago, Chile",Colombia,1–1,1–1,1991 Copa América
9,22 March 1994,"Stade de Gerland, Lyon, France",France,1–1,1–3,Friendly
10,25 May 1994,"Estadio Nacional de Chile, Santiago, Chile",Peru,2–1,2–1,Friendly
11,20 March 1995,"Los Angeles Memorial Coliseum, Los Angeles, United States",Mexico,1–0,2–1,Friendly
12,23 April 1996,"Estadio Regional de Antofagasta, Antofagasta, Chile",Australia,1–0,3–0,Friendly
13,23 April 1996,"Estadio Regional de Antofagasta, Antofagasta, Chile",Australia,3–0,3–0,Friendly
14,6 July 1996,"Estadio Nacional de Chile, Santiago, Chile",Ecuador,1–0,4–1,1998 World Cup qualification
15,6 July 1996,"Estadio Nacional de Chile, Santiago, Chile",Ecuador,3–1,4–1,1998 World Cup qualification
16,1 September 1996,"Estadio Metropolitano Roberto Meléndez, Barranquilla, Colombia",Colombia,1–4,1–4,1998 World Cup qualification
17,12 January 1997,"Estadio Nacional, Lima, Peru",Peru,1–2,1–2,1998 World Cup qualification
18,29 April 1997,"Estadio Monumental David Arellano, Santiago, Chile",Venezuela,1–0,6–0,1998 World Cup qualification
19,29 April 1997,"Estadio Monumental David Arellano, Santiago, Chile",Venezuela,2–0,6–0,1998 World Cup qualification
20,29 April 1997,"Estadio Monumental David Arellano, Santiago, Chile",Venezuela,3–0,6–0,1998 World Cup qualification
21,29 April 1997,"Estadio Monumental David Arellano, Santiago, Chile",Venezuela,4–0,6–0,1998 World Cup qualification
22,29 April 1997,"Estadio Monumental David Arellano, Santiago, Chile",Venezuela,6–0,6–0,1998 World Cup qualification
23,5 July 1997,"Estadio Nacional de Chile, Santiago, Chile",Colombia,4–1,4–1,1998 World Cup qualification
24,20 July 1997,"Estadio Nacional de Chile, Santiago, Chile",Paraguay,1–0,2–1,1998 World Cup qualification
25,20 July 1997,"Estadio Nacional de Chile, Santiago, Chile",Paraguay,3–0,2–1,1998 World Cup qualification
26,24 May 1998,"Estadio Nacional de Chile, Santiago, Chile",Uruguay,1–0,2–2,Friendly
27,31 May 1998,"Stade Alexandre Tropenas, Montélimar, France",Tunisia,3–2,3–2,Friendly
28,3 July 1999,"Estadio Antonio Oddone Sarubbi, Ciudad del Este, Paraguay",Venezuela,1–0,3–0,1999 Copa América
29,11 July 1999,"Estadio Feliciano Cáceres, Luque, Paraguay",Colombia,3–2,3–2,1999 Copa América
30,13 July 1999,"Estadio Defensores del Chaco, Asunción, Paraguay",Uruguay,1–1,1–1 (3–5 PSO),1999 Copa América
31,3 June 2000,"Estadio Centenario, Montevideo, Uruguay",Uruguay,1–1,1–2,2002 World Cup qualification
32,29 June 2000,"Estadio Nacional de Chile, Santiago, Chile",Paraguay,3–1,3–1,2002 World Cup qualification
33,25 July 2000,"Estadio Polideportivo de Pueblo Nuevo, San Cristóbal, Venezuela",Venezuela,2–0,2–0,2002 World Cup qualification
34,15 August 2000,"Estadio Nacional de Chile, Santiago, Chile",Brazil,2–0,3–0,2002 World Cup qualification
