# List of international goals scored by Flórián Albert
No.,Date,Venue,Opponent,Score,Result,Competition,Ref.
1,11 October 1959,"JNA Stadium, Belgrade, Serbia",Yugoslavia,1–0,4–2,Friendly,
2,11 October 1959,"JNA Stadium, Belgrade, Serbia",Yugoslavia,2–2,4–2,Friendly,
3,11 October 1959,"JNA Stadium, Belgrade, Serbia",Yugoslavia,3–2,4–2,Friendly,
4,25 October 1959,"Népstadion, Budapest, Hungary",Switzerland,4–0,8–0,Friendly,
5,8 November 1959,"Népstadion, Budapest, Hungary",West Germany,2–0,4–3,Friendly,
6,22 May 1960,"Népstadion, Budapest, Hungary",England,1–0,2–0,Friendly,
7,22 May 1960,"Népstadion, Budapest, Hungary",England,2–0,2–0,Friendly,
8,17 February 1961,"Cairo International Stadium, Cairo, Egypt",Egypt,1–0,2–0,Friendly,
9,17 February 1961,"Cairo International Stadium, Cairo, Egypt",Egypt,2–0,2–0,Friendly,
10,16 April 1961,"Megyeri úti Stadion, Budapest, Hungary",East Germany,1–0,2–0,1962 FIFA World Cup qualification,
11,7 May 1961,"JNA Stadium, Belgrade, Serbia",Yugoslavia,1–0,4–2,Friendly,
12,31 May 1962,"Estadio Braden Copper Co, Rancagua, Chile",England,2–1,2–1,1962 FIFA World Cup,
13,3 June 1962,"Estadio Braden Copper Co, Rancagua, Chile",Bulgaria,1–0,6–1,1962 FIFA World Cup,
14,3 June 1962,"Estadio Braden Copper Co, Rancagua, Chile",Bulgaria,2–0,6–1,1962 FIFA World Cup,
15,3 June 1962,"Estadio Braden Copper Co, Rancagua, Chile",Bulgaria,5–0,6–1,1962 FIFA World Cup,
16,7 November 1962,"Népstadion, Budapest, Hungary",Wales,1–0,3–1,1964 European Nations' Cup qualification,
17,5 May 1963,"Råsunda Stadium, Stockholm, Sweden",Sweden,—,1–2,Friendly,
18,19 May 1963,"Népstadion, Budapest, Hungary",Denmark,4–0,6–0,Friendly,
19,27 October 1963,"Népstadion, Budapest, Hungary",Austria,1–0,2–1,Friendly,
20,25 April 1964,"Stade olympique, Colombes, France",France,1–0,3–1,1964 European Nations' Cup qualification,
21,4 October 1964,"Wankdorf Stadium, Bern, Switzerland",Switzerland,1–0,2–0,Friendly,
22,4 October 1964,"Wankdorf Stadium, Bern, Switzerland",Switzerland,2–0,2–0,Friendly,
23,11 October 1964,"Népstadion, Budapest, Hungary",Czechoslovakia,1–0,2–2,Friendly,
24,11 October 1964,"Népstadion, Budapest, Hungary",Czechoslovakia,2–1,2–2,Friendly,
25,25 October 1964,"Népstadion, Budapest, Hungary",Yugoslavia,1–0,2–1,Friendly,
26,25 October 1964,"Népstadion, Budapest, Hungary",Yugoslavia,2–0,2–1,Friendly,
27,27 June 1965,"Népstadion, Budapest, Hungary",Italy,1–0,2–1,Friendly,
28,21 September 1966,"Népstadion, Budapest, Hungary",Denmark,1–0,6–0,UEFA Euro 1968 qualification,
29,21 September 1966,"Népstadion, Budapest, Hungary",Denmark,4–0,6–0,UEFA Euro 1968 qualification,
30,24 May 1967,"Idrætspark, Copenhagen, Denmark",Denmark,1–0,2–0,UEFA Euro 1968 qualification,
31,25 May 1969,"Népstadion, Budapest, Hungary",Czechoslovakia,2–0,2–0,1970 FIFA World Cup qualification,
