# List of international goals scored by Eden Hazard
No.,Date,Venue,Cap,Opponent,Score,Result,Competition,Ref.
1,7 October 2011,"King Baudouin Stadium, Brussels, Belgium",23,Kazakhstan,2–0,4–1,UEFA Euro 2012 qualifying,
2,25 May 2012,"King Baudouin Stadium, Brussels, Belgium",27,Montenegro,2–1,2–2,Friendly,
3,6 February 2013,"Jan Breydel Stadium, Bruges, Belgium",34,Slovakia,1–0,2–1,Friendly,
4,22 March 2013,"Philip II National Arena, Skopje, Macedonia",35,Macedonia,2–0,2–0,2014 FIFA World Cup qualification,
5,26 March 2013,"King Baudouin Stadium, Brussels, Belgium",36,Macedonia,1–0,1–0,2014 FIFA World Cup qualification,
6,1 June 2014,"Friends Arena, Solna, Sweden",45,Sweden,2–0,2–0,Friendly,
7,28 March 2015,"King Baudouin Stadium, Brussels, Belgium",55,Cyprus,4–0,5–0,UEFA Euro 2016 qualifying,
8,7 June 2015,"Stade de France, Saint-Denis, France",57,France,4–1,4–3,Friendly,
9,3 September 2015,"King Baudouin Stadium, Brussels, Belgium",59,Bosnia and Herzegovina,3–1,3–1,UEFA Euro 2016 qualifying,
10,6 September 2015,"GSP Stadium, Nicosia, Cyprus",60,Cyprus,1–0,1–0,UEFA Euro 2016 qualifying,
11,10 October 2015,"Estadi Nacional, Andorra la Vella, Andorra",61,Andorra,3–1,4–1,UEFA Euro 2016 qualifying,
12,13 October 2015,"King Baudouin Stadium, Brussels, Belgium",62,Israel,3–0,3–1,UEFA Euro 2016 qualifying,
13,5 June 2016,"King Baudouin Stadium, Brussels, Belgium",66,Norway,2–2,3–2,Friendly,
14,26 June 2016,"Stadium de Toulouse, Toulouse, France",70,Hungary,3–0,4–0,UEFA Euro 2016,
15,7 October 2016,"King Baudouin Stadium, Brussels, Belgium",74,Bosnia and Herzegovina,2–0,4–0,2018 FIFA World Cup qualification,
16,10 October 2016,"Estádio Algarve, Faro/Loulé, Portugal",75,Gibraltar,6–0,6–0,2018 FIFA World Cup qualification,
17,13 November 2016,"King Baudouin Stadium, Brussels, Belgium",77,Estonia,3–0,8–1,2018 FIFA World Cup qualification,
18,31 August 2017,"Stade Maurice Dufrasne, Liège, Belgium",78,Gibraltar,6–0,9–0,2018 FIFA World Cup qualification,
19,10 October 2017,"King Baudouin Stadium, Brussels, Belgium",81,Cyprus,1–0,4–0,2018 FIFA World Cup qualification,
20,10 October 2017,"King Baudouin Stadium, Brussels, Belgium",81,Cyprus,3–0,4–0,2018 FIFA World Cup qualification,
21,10 November 2017,"King Baudouin Stadium, Brussels, Belgium",82,Mexico,1–0,3–3,Friendly,
22,6 June 2018,"King Baudouin Stadium, Brussels, Belgium",85,Egypt,2–0,3–0,Friendly,
23,23 June 2018,"Otkritie Arena, Moscow, Russia",88,Tunisia,1–0,5–2,2018 FIFA World Cup,
24,23 June 2018,"Otkritie Arena, Moscow, Russia",88,Tunisia,4–1,5–2,2018 FIFA World Cup,
25,14 July 2018,"Krestovsky Stadium, Saint Petersburg, Russia",92,England,2–0,2–0,2018 FIFA World Cup,
26,7 September 2018,"Hampden Park, Glasgow, Scotland",93,Scotland,2–0,4–0,Friendly,
27,11 September 2018,"Laugardalsvöllur, Reykjavík, Iceland",94,Iceland,1–0,3–0,2018–19 UEFA Nations League A,
28,21 March 2019,"King Baudouin Stadium, Brussels, Belgium",99,Russia,2–1,3–1,UEFA Euro 2020 qualifying,
29,21 March 2019,"King Baudouin Stadium, Brussels, Belgium",99,Russia,3–1,3–1,UEFA Euro 2020 qualifying,
30,24 March 2019,"GSP Stadium, Nicosia, Cyprus",100,Cyprus,1–0,2–0,UEFA Euro 2020 qualifying,
31,16 November 2019,"Krestovsky Stadium, Saint Petersburg, Russia",105,Russia,2–0,4–1,UEFA Euro 2020 qualifying,
32,16 November 2019,"Krestovsky Stadium, Saint Petersburg, Russia",105,Russia,3–0,4–1,UEFA Euro 2020 qualifying,
33,5 September 2021,"King Baudouin Stadium, Brussels, Belgium",113,Czech Republic,2–0,3–0,2022 FIFA World Cup qualification,
