# Table 3
No.,Date,Venue,Opponent,Score,Result,Competition
1,27 June 2006,"AWD-Arena, Hanover, Germany",Spain,1–1,3–1,2006 FIFA World Cup
2,2 June 2007,"Stade de France, Saint-Denis, France",Ukraine,1–0,2–0,UEFA Euro 2008 qualifying
3,26 March 2008,"Stade de France, Saint-Denis, France",England,1–0,1–0,Friendly
4,3 June 2008,"Stade de France, Saint-Denis, France",Colombia,1–0,1–0,Friendly
5,11 October 2008,"Stadionul Farul, Constanţa, Romania",Romania,1–2,2–2,2010 FIFA World Cup qualification
6,28 March 2009,"S. Darius and S. Girėnas Stadium, Kaunas, Lithuania",Lithuania,1–0,1–0,2010 FIFA World Cup qualification
7,1 April 2009,"Stade de France, Saint-Denis, France",Lithuania,1–0,1–0,2010 FIFA World Cup qualification
8,27 May 2012,"Stade du Hainaut, Valenciennes, France",Iceland,2–2,3–2,Friendly
9,31 May 2012,"Stade Auguste Delaune, Reims, France",Serbia,1–0,2–0,Friendly
10,5 June 2012,"MMArena, Le Mans, France",Estonia,1–0,4–0,Friendly
11,11 September 2012,"Stade de France, Saint-Denis, France",Belarus,3–1,3–1,2014 FIFA World Cup qualification
12,22 March 2013,"Stade de France, Saint-Denis, France",Georgia,3–0,3–1,2014 FIFA World Cup qualification
13,10 September 2013,"Central Stadium, Gomel, Belarus",Belarus,1–1,4–2,2014 FIFA World Cup qualification
14,10 September 2013,"Central Stadium, Gomel, Belarus",Belarus,2–2,4–2,2014 FIFA World Cup qualification
15,11 October 2013,"Parc des Princes, Paris, France",Australia,1–0,6–0,Friendly
16,15 October 2013,"Stade de France, Saint-Denis, France",Finland,1–0,3–0,2014 FIFA World Cup qualification
