# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Borussia Dortmund II,2017–18,Regionalliga West,3,0,—,—,—,—,—,—,—,—,3,0
Borussia Dortmund,2017–18,Bundesliga,12,1,0,0,—,—,0,0,—,—,12,1
Borussia Dortmund,2018–19,Bundesliga,34,12,2,0,—,—,7,1,—,—,43,13
Borussia Dortmund,2019–20,Bundesliga,32,17,3,0,—,—,8,2,1,1,44,20
Borussia Dortmund,2020–21,Bundesliga,26,8,6,6,—,—,6,2,0,0,38,16
Borussia Dortmund,Total,Total,104,38,11,6,—,—,21,5,1,1,137,50
Manchester United,2021–22,Premier League,29,3,1,1,1,0,7,1,—,—,38,5
Manchester United,2022–23,Premier League,26,6,3,0,2,0,10,1,—,—,41,7
Manchester United,2023–24,Premier League,3,0,0,0,0,0,0,0,—,—,3,0
Manchester United,2024–25,Premier League,0,0,—,—,—,—,—,—,1,0,1,0
Manchester United,2025–26,Premier League,0,0,0,0,0,0,—,—,—,—,0,0
Manchester United,Total,Total,58,9,4,1,3,0,17,2,1,0,83,12
Borussia Dortmund (loan),2023–24,Bundesliga,14,2,—,—,—,—,7,1,—,—,21,3
Chelsea (loan),2024–25,Premier League,31,3,2,0,0,0,8,2,0,0,41,5
Aston Villa (loan),2025–26,Premier League,1,0,0,0,1,0,1,0,—,—,3,0
Career total,Career total,Career total,211,52,17,7,4,0,54,9,2,1,288,70
