# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,FA Cup Apps,FA Cup Goals,League Cup Apps,League Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Manchester United,1994–95,Premier League,17,5,3,0,3,2,2,0,0,0,25,7
Manchester United,1995–96,Premier League,26,10,2,1,1,2,2,1,—,—,31,14
Manchester United,1996–97,Premier League,24,3,2,2,2,1,4,0,1,0,33,6
Manchester United,1997–98,Premier League,31,8,2,0,1,0,7,2,1,0,42,10
Manchester United,1998–99,Premier League,31,6,6,1,1,0,12,4,1,0,51,11
Manchester United,1999–2000,Premier League,31,9,—,—,0,0,11,3,3,0,45,12
Manchester United,2000–01,Premier League,32,6,0,0,0,0,12,6,1,0,45,12
Manchester United,2001–02,Premier League,35,8,2,0,0,0,13,1,1,0,51,9
Manchester United,2002–03,Premier League,33,14,3,1,6,3,10,2,—,—,52,20
Manchester United,2003–04,Premier League,28,9,6,4,0,0,5,1,1,0,40,14
Manchester United,2004–05,Premier League,33,9,6,3,2,0,7,0,1,0,49,12
Manchester United,2005–06,Premier League,20,2,0,0,0,0,7,1,—,—,27,3
Manchester United,2006–07,Premier League,30,6,4,0,0,0,11,1,—,—,45,7
Manchester United,2007–08,Premier League,24,1,3,0,0,0,7,1,0,0,34,2
Manchester United,2008–09,Premier League,21,2,2,1,3,0,6,0,3,0,35,3
Manchester United,2009–10,Premier League,28,3,0,0,2,1,7,3,1,0,38,7
Manchester United,2010–11,Premier League,22,1,3,0,0,0,7,0,1,0,33,1
Manchester United,2011–12,Premier League,17,4,2,0,0,0,2,0,0,0,21,4
Manchester United,2012–13,Premier League,16,1,3,0,0,0,2,0,—,—,21,1
Manchester United,Total,Total,499,107,49,13,21,9,134,26,15,0,718,155
Royton Town,2018–19,Manchester Football League Premier Division,2,0,0,0,—,—,—,—,1,0,3,0
Career total,Career total,Career total,501,107,49,13,21,9,134,26,16,0,721,155
