# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Roeselare (loan),2008–09,Belgian Pro League,18,5,2,3,—,—,—,—,0,0,20,8
Club Brugge,2009–10,Belgian Pro League,33,9,2,0,—,—,8,4,—,—,43,13
Club Brugge,2010–11,Belgian Pro League,37,22,1,0,—,—,8,0,—,—,46,22
Club Brugge,Total,Total,70,31,3,0,—,—,16,4,—,—,89,35
Borussia Dortmund,2011–12,Bundesliga,28,7,6,1,—,—,6,1,1,0,41,9
Borussia Dortmund,2012–13,Bundesliga,14,2,3,1,—,—,5,0,1,0,23,3
Borussia Dortmund,Total,Total,42,9,9,2,—,—,11,1,2,0,64,12
VfL Wolfsburg,2012–13,Bundesliga,11,2,0,0,—,—,—,—,—,—,11,2
VfL Wolfsburg,2013–14,Bundesliga,33,10,5,1,—,—,—,—,—,—,38,11
VfL Wolfsburg,2014–15,Bundesliga,24,5,2,1,—,—,9,1,—,—,35,7
VfL Wolfsburg,2015–16,Bundesliga,2,1,1,0,—,—,—,—,1,0,4,1
VfL Wolfsburg,Total,Total,70,18,8,2,—,—,9,1,1,0,88,21
Inter Milan,2015–16,Serie A,34,7,3,2,—,—,—,—,—,—,37,9
Inter Milan,2016–17,Serie A,36,11,1,0,—,—,5,0,—,—,42,11
Inter Milan,2017–18,Serie A,37,11,2,0,—,—,—,—,—,—,39,11
Inter Milan,2018–19,Serie A,34,8,1,0,—,—,10,1,—,—,45,9
Inter Milan,2020–21,Serie A,32,4,4,0,—,—,6,1,—,—,42,5
Inter Milan,2021–22,Serie A,35,8,5,2,—,—,8,0,1,0,49,10
Inter Milan,Total,Total,208,49,16,4,—,—,29,2,1,0,254,55
Bayern Munich (loan),2019–20,Bundesliga,22,4,3,1,—,—,10,3,—,—,35,8
Tottenham Hotspur,2022–23,Premier League,34,1,2,0,1,0,7,0,—,—,44,1
Tottenham Hotspur,2023–24,Premier League,5,0,0,0,1,0,—,—,—,—,6,0
Tottenham Hotspur,Total,Total,39,1,2,0,2,0,7,0,—,—,50,1
Hajduk Split (loan),2023–24,HNL,7,1,1,0,—,—,—,—,—,—,8,1
Hajduk Split,2024–25,HNL,1,0,0,0,—,—,3,0,—,—,4,0
Hajduk Split,Hajduk total,Hajduk total,8,1,1,0,—,—,3,0,—,—,12,1
PSV Eindhoven,2024–25,Eredivisie,27,9,4,4,—,—,4,3,—,—,35,16
PSV Eindhoven,2025–26,Eredivisie,5,1,0,0,—,—,1,0,1,0,7,1
PSV Eindhoven,Total,Total,32,10,4,4,—,—,5,3,1,0,42,17
Career total,Career total,Career total,508,128,47,16,2,0,90,14,5,0,652,158
